,0,1
M_ru_77750_suta,49.98709,-350.427
M_ru_78182_suta,71.230804,-357.3816
M_ru_80819_arsu,61.1805,-346.44904
M_ru_81347_arsu,43.131416,-293.87366
M_ru_85426_arsu,74.74636,-342.5604
M_ru_85919_suta,29.751465,-308.6196
M_ru_A10311_pu,394.24265,167.24432
M_ru_A10329_pu,384.36853,160.0231
M_ru_A11834_suta,81.10952,-333.45398
M_ru_A1380_pu,398.61462,181.8073
M_ru_A15176_suta,48.665367,-320.95932
M_ru_A16195_pa,3.1602988,354.53952
M_ru_A207_jigu,-394.3465,148.044
M_ru_A2741_pu,386.48752,173.10242
M_ru_A436_pu,398.01108,159.1429
M_ru_A440_pu,385.68918,183.01599
M_ru_A474_ma,-425.85147,175.08353
M_ru_A5487_suta,42.807198,-310.59097
M_ru_A7875_In,12.93526,21.494228
M_ru_A9235_pa,27.457577,325.02765
M_ru_A9903_pa,38.415356,-329.3091
M_ru_J265_ma,-428.6937,185.06476
M_ru_J640_roar,133.91382,-312.10156
M_ru_J676_roar,131.24365,-319.3226
M_ru_T10184_suta,68.24577,-311.13892
M_ru_T11079_pa,18.127739,341.42612
M_ru_T11238_pa,27.381676,335.62164
M_ru_T11780_suta,84.07732,-313.24603
M_ru_T12541_pa,-15.64229,345.6365
M_ru_T13253_ma,-415.7973,173.56776
M_ru_T14456_In,26.747772,20.652746
M_ru_T14532_suta,55.01596,-298.63928
M_ru_T14622_suta,69.58143,-322.22433
M_ru_T1649_pa,22.721048,351.85602
M_ru_T16553_pa,8.659131,343.6921
M_ru_T19782_pa,40.61716,344.78067
M_ru_T23245_In,36.16214,28.685417
M_ru_T23246_In,21.31662,30.315067
M_ru_T23416_In,32.602863,12.90811
M_ru_T23478_In,23.211134,9.977104
M_ru_T3164_ma,-417.74243,183.09561
M_ru_T3228_jigu,-388.30942,155.51671
M_ru_T368_ma,173.07983,-328.41766
M_ru_T381_ma,166.23404,-331.76083
M_ru_T476_ma,149.82042,-347.48627
M_ru_T494_ma,154.27507,-341.39157
M_ru_T6500_pa,-3.748864,341.98206
M_ru_T6577_pa,11.10908,329.3138
M_ru_T753_suta,62.708588,-325.77347
M_ru_T7634_jigu,-385.93832,145.3282
