,0,1
M_ru_77750_suta,58.607,-197.73508
M_ru_78182_suta,15.157632,-220.84273
M_ru_80819_arsu,18.898205,-200.88916
M_ru_81347_arsu,59.37215,-95.98403
M_ru_85426_arsu,4.858295,-156.42128
M_ru_85919_suta,42.545895,-130.0011
M_ru_A10311_pu,140.29614,203.65038
M_ru_A10329_pu,157.66798,189.51875
M_ru_A11834_suta,-18.842651,-145.35252
M_ru_A1380_pu,96.00683,220.28296
M_ru_A15176_suta,-56.822186,-152.49507
M_ru_A16195_pa,-407.30414,97.9061
M_ru_A207_jigu,367.36365,111.3759
M_ru_A2741_pu,114.30253,199.86525
M_ru_A436_pu,168.31084,167.76532
M_ru_A440_pu,109.58099,171.0953
M_ru_A474_ma,469.7576,-58.960762
M_ru_A5487_suta,-45.085285,-86.642555
M_ru_A7875_In,83.2037,479.01245
M_ru_A9235_pa,-437.71356,99.83073
M_ru_A9903_pa,-26.213676,-122.226906
M_ru_J265_ma,452.81207,-44.69588
M_ru_J640_roar,1910.0566,-205.32619
M_ru_J676_roar,-2176.4602,-368.82825
M_ru_T10184_suta,-78.449615,-180.457
M_ru_T11079_pa,-368.72467,68.49445
M_ru_T11238_pa,-431.98172,42.87607
M_ru_T11780_suta,-41.996864,-223.66786
M_ru_T12541_pa,-351.94928,130.17647
M_ru_T13253_ma,456.2372,-11.478245
M_ru_T14456_In,53.955482,497.7415
M_ru_T14532_suta,3.091612,-104.07722
M_ru_T14622_suta,-87.00281,-131.48209
M_ru_T1649_pa,-397.90997,77.97469
M_ru_T16553_pa,-360.86926,35.652603
M_ru_T19782_pa,-414.53754,146.11972
M_ru_T23245_In,53.653084,548.91846
M_ru_T23246_In,63.93907,465.6608
M_ru_T23416_In,22.57505,527.52734
M_ru_T23478_In,42.67599,520.7525
M_ru_T3164_ma,475.469,-31.527733
M_ru_T3228_jigu,354.92215,89.822876
M_ru_T368_ma,-35.546654,-422.59952
M_ru_T381_ma,-23.85477,-445.3648
M_ru_T476_ma,-55.778755,-380.04095
M_ru_T494_ma,-47.444912,-397.24063
M_ru_T6500_pa,-376.19888,116.83804
M_ru_T6577_pa,-394.8827,44.412376
M_ru_T753_suta,-28.109821,-177.28976
M_ru_T7634_jigu,376.0945,85.40593
