,0,1
M_ru_77750_suta,-268.89444,-132.85927
M_ru_78182_suta,-176.4509,-78.03013
M_ru_80819_arsu,-239.28992,-155.44235
M_ru_81347_arsu,-224.65591,-67.17377
M_ru_85426_arsu,-211.4665,-185.80875
M_ru_85919_suta,-215.0074,-94.67742
M_ru_A10311_pu,-34.585293,328.00238
M_ru_A10329_pu,-15.591124,-61.599567
M_ru_A11834_suta,-251.82877,-98.21931
M_ru_A1380_pu,-34.35366,-46.326675
M_ru_A15176_suta,-180.94533,-143.91281
M_ru_A16195_pa,33.259666,135.48912
M_ru_A207_jigu,103.709785,347.3492
M_ru_A2741_pu,-28.786192,-70.75337
M_ru_A436_pu,2.1159892,-45.30334
M_ru_A440_pu,-50.829334,-233.74417
M_ru_A474_ma,214.23022,-153.41045
M_ru_A5487_suta,-230.347,-121.765236
M_ru_A7875_In,344.24142,-5.590528
M_ru_A9235_pa,92.364044,123.77256
M_ru_A9903_pa,-148.25435,-144.16467
M_ru_J265_ma,194.14035,-125.87285
M_ru_J640_roar,-218.44818,-13.453237
M_ru_J676_roar,-229.12256,0.5113148
M_ru_T10184_suta,-139.85152,-119.57787
M_ru_T11079_pa,108.30339,124.96416
M_ru_T11238_pa,70.02659,117.46435
M_ru_T11780_suta,-181.56223,-104.367584
M_ru_T12541_pa,92.9261,171.49545
M_ru_T13253_ma,194.24702,-149.51184
M_ru_T14456_In,350.95193,41.012226
M_ru_T14532_suta,-213.41972,-117.77649
M_ru_T14622_suta,-195.59688,-120.87989
M_ru_T1649_pa,52.628525,134.0311
M_ru_T16553_pa,41.527637,192.17177
M_ru_T19782_pa,66.91586,164.73647
M_ru_T23245_In,355.23584,63.478916
M_ru_T23246_In,360.20737,6.2582417
M_ru_T23416_In,343.27957,22.60532
M_ru_T23478_In,334.4538,41.018433
M_ru_T3164_ma,208.58083,-134.50462
M_ru_T3228_jigu,82.6042,344.8093
M_ru_T368_ma,-191.79665,114.461876
M_ru_T381_ma,-208.42285,99.84974
M_ru_T476_ma,-199.36383,74.57026
M_ru_T494_ma,-190.80246,85.48043
M_ru_T6500_pa,56.424026,176.17586
M_ru_T6577_pa,114.741425,105.653366
M_ru_T753_suta,-208.04704,-145.75406
M_ru_T7634_jigu,93.49355,332.88037
