,0,1
M_ru_77750_suta,-188.29419,-39.069794
M_ru_78182_suta,-171.9746,-92.38696
M_ru_80819_arsu,-212.38678,-121.140236
M_ru_81347_arsu,-189.17241,-172.84682
M_ru_85426_arsu,-1354.4116,490.59634
M_ru_85919_suta,-88.53118,-154.31874
M_ru_A10311_pu,141.3785,230.62479
M_ru_A10329_pu,169.7514,250.40155
M_ru_A11834_suta,-925.1027,-100.95569
M_ru_A1380_pu,187.56787,275.70145
M_ru_A15176_suta,-122.84694,-122.039055
M_ru_A16195_pa,16.72061,100.80316
M_ru_A207_jigu,4.3785906,264.1755
M_ru_A2741_pu,131.94164,260.13278
M_ru_A436_pu,175.11198,215.20901
M_ru_A440_pu,148.36992,291.38077
M_ru_A474_ma,216.4702,86.4896
M_ru_A5487_suta,-166.03728,-136.20602
M_ru_A7875_In,184.04346,-188.64001
M_ru_A9235_pa,-36.42963,72.58692
M_ru_A9903_pa,1648.9005,-358.45718
M_ru_J265_ma,217.93524,56.705685
M_ru_J640_roar,-305.3989,-35.718575
M_ru_J676_roar,-317.78897,-14.700956
M_ru_T10184_suta,1223.4415,20.260948
M_ru_T11079_pa,-11.67144,93.601906
M_ru_T11238_pa,8.916627,136.0792
M_ru_T11780_suta,-136.31796,-177.80594
M_ru_T12541_pa,-7.6671667,52.641525
M_ru_T13253_ma,182.89787,99.44037
M_ru_T14456_In,159.83159,-159.87874
M_ru_T14532_suta,-0.31376284,-717.06415
M_ru_T14622_suta,-113.51615,-80.3402
M_ru_T1649_pa,-17.178589,14.726416
M_ru_T16553_pa,42.09183,61.239197
M_ru_T19782_pa,-74.18664,123.40287
M_ru_T23245_In,141.56216,-189.20653
M_ru_T23246_In,190.15784,-145.01552
M_ru_T23416_In,146.12364,-130.27289
M_ru_T23478_In,123.99793,-156.36494
M_ru_T3164_ma,187.86946,65.00314
M_ru_T3228_jigu,23.23849,291.267
M_ru_T368_ma,-302.07614,80.4703
M_ru_T381_ma,-293.9902,49.343567
M_ru_T476_ma,-241.74161,64.98374
M_ru_T494_ma,-255.79265,45.66341
M_ru_T6500_pa,30.82956,31.758951
M_ru_T6577_pa,-37.727177,135.98802
M_ru_T753_suta,-87.550835,-90.65099
M_ru_T7634_jigu,33.14236,263.1448
