"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76"
"1",0,126.081320289977,433.800694112608,124.79878310462,134.950445744805,154.502527397797,159.575032368387,122.788381318322,125.280304016332,129.543454078981,405.537698214334,149.513225199622,415.958526908394,370.642447789687,401.338925736925,367.217526615711,439.939331760246,696.227723841621,605.723692177788,707.319296416764,391.40438482389,425.933248854159,380.556691248967,412.920603447219,404.452230751478,396.43224976724,732.155948278762,673.318273465308,489.21220265103,383.648973275188,395.388815479723,530.674778963479,395.231012968181,554.659192740308,379.763840925297,112.45654367444,199.569902349312,264.288526960942,124.217487561911,271.955484334519,384.197174604086,375.346016414751,136.258864578784,401.309079126178,410.019178143371,139.432074695103,413.334793379556,423.827319412168,139.235884010792,411.939286473734,414.865058087382,135.393954448401,391.585451115229,429.790738828124,414.870250318015,469.827085714028,399.358266155307,137.994349455222,420.766490538076,453.01759897102,450.861857105086,449.213843350333,442.372210746487,369.665194778251,445.601342758346,451.579387997296,439.331197125495,453.631176502944,469.865693671766,372.598227007043,373.79789937376,483.424953990757,443.461931995752,433.894673707707,446.141205463605,127.464342129786
"2",126.081320289977,0,439.367795959619,121.661623803142,131.490507349749,148.821626423088,154.26522416749,116.95559646667,119.555506247998,128.53342574634,411.58678395886,143.209526023869,421.281247980301,375.641474498316,407.074303439642,371.822343805114,445.384363003862,702.448893133374,612.170051369227,715.400294285373,396.330772679542,431.709053472904,384.605132543213,418.141519522294,410.215656625681,402.055512952848,739.139329804193,678.556662123208,494.000702815522,388.039290197694,401.287624595264,535.13024459349,399.533887332262,560.153345016182,384.535216074164,102.838833928179,191.387106936473,256.162375554498,115.617381252112,266.473342116892,389.559455213809,380.837709205975,130.712037642257,406.859521910442,416.21661410267,131.847839144192,419.394888478127,430.484406911022,132.42442362621,416.491979068185,420.59606101266,129.750919775799,396.869803895089,434.897522862857,420.68895439449,476.028104264987,405.343703798306,134.964789444366,426.947200607246,458.048132817863,455.256782920205,453.254554774175,446.389181666478,374.598431795068,450.902706841714,456.728100107526,444.578723388842,459.36436308451,475.410075745471,377.735214284257,378.509693411087,488.709931097252,449.094148731861,439.413425878708,451.740487262758,123.523367835359
"3",433.800694112608,439.367795959619,0,419.259888864354,420.821882401671,433.970427142657,435.424284903305,422.824256901334,415.079313411991,424.886778062886,419.497314689519,426.521655110539,430.973160714013,411.718680883117,440.391693806615,404.388623000335,454.580011650309,432.690444368966,337.384196937553,449.734966242024,427.501666689053,450.231593672585,416.369495956008,453.25369928975,444.284411801203,437.891954269395,767.600427064159,705.635009822156,527.84170123762,419.705897762464,434.219949031581,565.518363356577,431.106031460304,588.04028396817,417.072003944064,415.907550093113,489.120013886906,541.807647444466,420.974284416341,555.26947705209,424.804619315953,416.345939776529,426.418832942989,416.369836637269,424.098668807813,430.325408761486,427.907433959087,438.211827420995,425.934110031222,427.430053947527,429.631247361112,426.381405567489,429.379534168075,467.068577047963,454.493692833639,147.471993173663,413.371465055841,423.321083615484,435.636304832593,490.342333372516,488.590818408651,102.375215013044,89.7680691626079,408.10713826151,97.69790228252,100.586385115818,98.0403149143468,122.751899402787,136.835249260149,410.33936793527,413.420139907733,158.488272824402,114.472619607921,86.7315064779241,102.953073094204,418.377283416145
"4",124.79878310462,121.661623803142,419.259888864354,0,100.018926983609,131.337240130416,138.888924415656,100.399075575824,89.4667782859491,108.799545329155,390.157172892149,107.690404796737,400.783239767777,356.707790667272,386.887474060335,352.350747446977,423.986649960252,682.208450600577,591.307808813275,694.924967871017,376.532243322247,411.703593288785,365.117157193851,399.723802056998,390.770088750664,382.902821120292,718.581457601236,660.099658180092,473.732997922994,369.825113217915,381.669546553885,516.150586634584,379.871460753552,540.973937988757,365.136538231179,98.6785433464722,185.858906458678,251.498435706991,111.048214280427,260.004939128636,370.96167024127,360.764801207335,104.041933341969,385.558305227215,394.161604175687,99.8654571598014,397.742885085281,408.314525206907,92.2104493402717,395.583833375884,398.43668838153,87.4068259367794,375.904751683227,414.918223510052,401.039565597271,455.791287294685,383.324902786369,99.2124619903816,405.324262905097,438.033991124636,435.164616222276,433.609344801885,427.654829378209,353.753240931116,430.553183071192,436.483538082852,424.352348012761,438.631903455068,455.404514376445,357.772558654034,358.66625994141,468.385505729189,428.683421265834,419.030744615164,430.5193970085,80.7448735148042
"5",134.950445744805,131.490507349749,420.821882401671,100.018926983609,0,132.785432969652,144.258645708716,98.946895218783,85.1000897276343,112.878625542902,391.099977217377,102.989487731474,401.889592821753,359.366437882358,388.893819511383,355.265231286724,424.463314824593,683.934379136552,593.713723495966,696.073895218673,379.084245902041,413.409495650019,368.283639849788,402.083431042556,394.271287211547,385.691745440492,722.91058385518,662.138239358405,476.722522069987,371.565169292836,383.294868222798,517.357603744811,383.232912102817,544.355006758471,367.84574430216,114.876294321289,201.508552775693,265.980769495821,123.012400062258,274.187942352226,371.934345601023,363.351365146746,93.6389107969239,386.692708642503,395.199815510069,95.8609191040109,399.23723673744,409.527751979351,93.7908192082087,397.329369155292,399.848974177857,90.7735829898478,379.040096230564,418.092288209423,402.53057694109,457.603958401323,384.454058074657,93.5274103427531,406.035895456789,441.10390108652,438.578795416716,436.216287519092,429.503596500962,357.02778670247,432.516875335251,438.410482268591,426.721693003677,440.827462797183,457.31013707951,360.396448932567,361.44799359113,470.568310980579,430.806825043926,421.157768843268,432.677959589825,81.2007207139315
"6",154.502527397797,148.821626423088,433.970427142657,131.337240130416,132.785432969652,0,166.911562020806,129.70983885507,122.923690486701,140.698306833506,405.874834173859,145.402172977032,416.564347459311,373.631025467386,404.559917411079,370.742210348002,440.475293568882,694.267382422779,604.751912662839,707.137532399733,393.763688212813,428.122491478454,383.859262339291,417.139810540926,407.418298363497,400.328849144232,735.895176124827,674.804460043716,490.888977651993,386.406242972741,398.220619359946,534.082838374488,398.321787764212,557.723115517714,383.498608679541,129.937825921109,214.115143134435,277.60773589778,138.958054667069,287.807539752005,387.125272920405,377.834053022085,136.382966362773,402.030844167909,410.584417874175,136.626956998573,413.90888041855,424.931742075465,138.013093645883,412.400004891698,415.272633854016,134.739916951615,394.431671392754,433.046734764246,418.958470486315,469.74292373106,400.044009198515,132.62621733493,421.548653604828,456.229534764239,452.751407152195,449.125251825049,442.799944382696,371.80037153518,445.115720504551,451.536277367266,439.07957390134,453.441061172752,470.205054333088,376.451492149338,377.064959468031,482.654585420002,443.200004362637,433.774470274853,446.500204908445,126.457977599359
"7",159.575032368387,154.26522416749,435.424284903305,138.888924415656,144.258645708716,166.911562020806,0,138.522905028032,135.402902028525,144.18688288793,406.552266417287,152.93643165567,416.7192964033,375.532783483679,405.841782363539,371.372184144264,440.170765319854,696.797597175585,607.025330293155,709.236359956931,395.31925948458,428.431605673866,384.089840559005,418.168416402806,409.145120418408,401.288802896628,736.564054592055,676.021748277986,491.207113839165,388.196832141762,400.156442191699,532.841412758587,398.596883373616,557.560132079812,383.790129881286,137.424662073876,217.018146119768,277.434070660611,144.623108779659,287.27791553647,388.557141455605,379.973721115479,146.975553678339,401.331158944699,410.344146159502,141.547453395856,413.498987815987,424.773693696454,145.405533945665,411.886950108638,415.390649249039,142.135069384184,394.613244679383,434.7104842282,419.027506950036,470.579532925981,400.560687835158,145.874449146263,420.798876787354,456.32254142354,454.159341892716,451.308668296658,445.206824047445,374.760521934917,447.37644068216,453.070464301801,440.83956257804,455.68493541276,471.785667859375,377.272643030732,378.315380956924,485.29426649534,445.81763220087,435.727311175213,448.311889085683,134.371062797258
"8",122.788381318322,116.95559646667,422.824256901334,100.399075575824,98.946895218783,129.70983885507,138.522905028032,0,98.0274566799966,106.538236199611,393.831889409961,119.746719247771,404.867954946363,360.304963881123,389.315174032537,356.425259925436,428.123597953289,684.711774283014,595.332159218774,697.893779259115,380.091701619962,415.715860790958,367.773940826176,402.637037861859,393.400935220924,385.635765416692,721.05304346024,662.152747066886,477.263498888717,372.545659633446,383.570032366811,517.61875356531,384.306814909262,545.280710662918,368.953729887617,99.996541969774,189.31235021464,254.448415745535,114.014151586174,263.908496357821,371.956127246775,364.451825053751,107.461724435467,389.598724893023,398.348356092875,110.367296871028,401.913103302959,412.261163206375,111.658074546017,399.763936407502,403.174509221929,105.894087261661,380.03024983835,418.743044511531,404.392742218282,458.384464859104,388.248055465899,111.46222185702,409.292297026751,442.245394378012,439.362526785202,436.673663486563,430.682539996342,358.122073592656,433.869246606069,438.2118211494,428.057052632604,441.666156517627,458.231402690974,361.336374141761,362.203376724995,471.051621163761,431.355005087885,422.558165165073,434.258496903986,99.3884498965386
"9",125.280304016332,119.555506247998,415.079313411991,89.4667782859491,85.1000897276343,122.923690486701,135.402902028525,98.0274566799966,0,102.652879586901,385.55695934791,97.4985113007088,396.213026932361,352.249467622093,381.673839813102,348.036028568843,419.534834631525,678.398867540837,587.148913824125,690.540296497331,371.171738381934,407.37724980987,360.559194410778,395.166919239804,386.471939941743,378.156014485407,715.540881882595,655.36323453819,469.742241479379,364.579494609497,376.31886309732,512.344692883606,376.098273121192,537.286520897958,360.846106913658,101.194336475234,185.76369956587,251.720905919199,108.719080189148,260.405180707236,365.592089823675,356.317278264297,85.9235906048365,381.553055046074,389.615279789767,88.3268779786646,393.750443470258,404.175695276171,79.3601190106848,391.343674801302,394.549873772913,78.6320171735292,372.035685016917,411.29189855145,396.558724664481,451.388255417935,378.648139233753,80.1722047538043,400.084325176575,434.275004359176,431.422217777628,429.674358268036,423.491179001185,350.021971535452,425.833707881779,432.278383463541,419.979489835876,434.814551440441,451.0708710786,352.841752614969,354.316682335027,463.704309283713,424.218912266006,414.506368205604,426.641254448165,73.0113464963149
"10",129.543454078981,128.53342574634,424.886778062886,108.799545329155,112.878625542902,140.698306833506,144.18688288793,106.538236199611,102.652879586901,0,395.585995517697,125.829226696369,406.089470958369,362.881479059063,392.717099194513,358.944858019707,429.410039474366,687.79411848261,596.48863944518,699.955367809499,381.710344451273,418.106615782858,372.01213102134,405.669803934386,396.313832462495,388.341052797839,725.088308808815,665.135624074508,481.192510241939,375.36994553354,387.453250714455,522.800172972698,386.654641856037,547.750328497461,370.911295758593,106.290733302787,183.95762722814,248.769012471482,114.176769889251,257.720041372099,376.675150734244,366.84608247259,119.249430998209,391.470328252622,400.437143838755,115.060140379244,403.044531998518,414.20907928161,116.603897096055,401.443753063967,404.865237605828,112.804140949608,382.412456199387,421.408807775172,406.669294756057,461.415240043788,389.015563047748,116.231407762546,411.065716328042,444.125130078652,441.7334196701,439.906809295445,433.326175854582,361.102536548188,436.387907823939,442.648213757838,430.571052967274,444.752437584438,461.292561481249,364.111016957957,364.999380389501,474.607172928332,434.605730131194,425.441897394085,436.840586840814,102.419255471334
"11",405.537698214334,411.58678395886,419.497314689519,390.157172892149,391.099977217377,405.874834173859,406.552266417287,393.831889409961,385.55695934791,395.585995517697,0,397.79504047241,109.564894726712,464.006267137873,493.548631622849,457.93683136531,128.373054564458,689.175768624013,598.464893313639,698.745415457667,481.731204359914,509.377221749273,471.099207174094,506.101386114605,496.937079524103,489.661891287346,815.612357753385,756.771045258746,577.890642278666,474.532174904323,487.528469536083,615.26841146589,485.967293548476,641.372202943616,470.826973257752,388.096957888839,463.614391812319,517.678703927268,394.007271201301,532.008757909631,477.516220201623,468.61309880104,397.04837436117,95.0224838202369,111.249955845965,401.417723921729,100.802553155301,122.02083280976,397.054856994674,109.303065480219,104.291700986889,396.962792794212,483.884065599157,522.66983034157,506.671554456804,456.874581513562,99.0865603905241,393.623511808021,118.686671919096,542.631431353791,540.975259439213,436.233290699738,430.666521654829,461.206054418204,433.924112428194,439.493092415,426.756492140984,442.718178107653,457.755331292359,464.768216077648,466.879152026182,472.258916964928,431.286835224988,421.653017539775,434.657546138238,389.408847342537
"12",149.513225199622,143.209526023869,426.521655110539,107.690404796737,102.989487731474,145.402172977032,152.93643165567,119.746719247771,97.4985113007088,125.829226696369,397.79504047241,0,408.488013267472,365.265125293222,395.77781102537,361.094131661205,432.331691800587,688.434065127989,599.332109173288,701.620268359712,385.204901844576,419.839561096236,374.205648707751,408.126693435537,398.635626548507,391.553159037756,728.736757631803,667.017062429716,482.999952110341,378.12934415731,390.070673819948,524.229162528272,388.585235673828,550.774093349806,373.880044460948,129.219107158764,213.400806437142,279.29102857979,135.961774454549,287.41500502763,378.846824904624,369.012991675871,110.508597460979,393.704360919909,402.464576453358,98.0107715239188,406.158937391757,415.84081145821,96.1155264914633,403.263711097242,406.675047808364,96.8729823727749,384.797956613256,424.000078573546,409.044319830677,462.878482727683,390.854764663398,101.734916518274,413.653579321093,446.562437035055,443.967811981179,441.526236200917,435.271255047466,362.782168065982,438.198060486359,444.372627019226,432.087798047188,446.561722322643,463.25648593293,366.534576598689,367.503407657283,476.222200770443,436.38690161259,425.985302280549,438.312952043565,84.8432969453236
"13",415.958526908394,421.281247980301,430.973160714013,400.783239767777,401.889592821753,416.564347459311,416.7192964033,404.867954946363,396.213026932361,406.089470958369,109.564894726712,408.488013267472,0,475.722553977739,504.559919670505,469.081059104251,144.960022397502,699.741396969504,608.764558231499,713.186117368843,492.508970003547,520.179745615457,482.360772965412,516.894454564717,508.022392706682,500.101531935184,826.36846861731,768.423420628003,588.309202736521,485.121521062583,498.513683981671,625.970564011984,497.109754846005,650.546347958722,481.911887859601,398.490648622921,474.239763583061,528.332212899307,404.243650681687,543.009661845922,488.330431571903,479.535517095643,407.344026601052,98.6704718842959,134.711308467236,411.922917717513,123.906537334304,131.626243403636,408.153630378613,125.951869124333,129.63861249993,407.485723755977,494.555344041191,531.791410081052,517.477203430195,467.860867410771,101.920284677327,404.325052188205,144.211362058155,554.3834614338,552.451627160221,447.372160712869,441.622409080602,471.91728550828,445.322851175086,450.450087235668,437.474589480333,453.753820322416,468.999027387223,475.692327821209,477.839316844156,482.75873989444,442.860038851032,432.522157448466,445.401813908779,399.718065358501
"14",370.642447789687,375.641474498316,411.718680883117,356.707790667272,359.366437882358,373.631025467386,375.532783483679,360.304963881123,352.249467622093,362.881479059063,464.006267137873,365.265125293222,475.722553977739,0,195.555916957151,189.93669073549,499.21914442273,677.687128512953,585.801507386374,690.483419744887,211.360751853212,276.883493641478,198.784124247634,198.222976742508,188.279437449732,181.841762094613,562.107420057373,496.541713999583,297.964898133577,179.796500585224,182.132165452966,369.616298150921,219.918643949462,397.072339563869,204.474869302423,352.656194567794,426.639276644884,480.301822895548,358.703159289043,494.151152364102,172.420372613327,174.229639150682,365.313351203595,461.021879961957,469.485575938844,367.307014080233,473.100836489093,483.274288514231,364.025847325261,470.369766189137,473.376650237507,364.019976559279,191.902125239411,220.209004908419,206.571421350856,447.935348134479,458.284792412023,361.143681468616,480.039646332706,254.885165477488,250.131270658053,427.68416068808,421.106737016962,172.814850971194,423.55868649207,431.212439123828,418.096248688412,432.189184659941,448.433584463067,173.52733464762,174.500142086625,461.650077420531,421.469574130724,411.67154780728,424.865093106472,355.530089231873
