,0,1
P_ni_77876_suta,-140.13109,151.33606
P_ni_78155_suta,-150.77975,139.77039
P_ni_80034_pu,233.065,-24.94179
P_ni_80555_arsu,-143.41447,140.59448
P_ni_80684_arsu,-149.58882,127.40279
P_ni_80802_arsu,-139.36798,146.06645
P_ni_80874_arsu,-86.61088,641.10175
P_ni_85430_arsu,-160.66039,136.89673
P_ni_85721_suta,-146.1593,120.23145
P_ni_86072_arsu,-153.56293,154.49681
P_ni_A14342_pa,67.95011,145.88345
P_ni_A15120_suta,-153.61015,127.394165
P_ni_A15277_pa,70.95252,149.42148
P_ni_A2418_ma,-35.940132,-177.41513
P_ni_A3255_jigu,-53.589634,-164.45567
P_ni_A542_ma,-33.767624,-147.51709
P_ni_A7066_pa,64.03142,139.40169
P_ni_A7862_In,232.23976,-59.490005
P_ni_A7911_In,229.2404,-61.50261
P_ni_A7928_In,233.98,-61.628597
P_ni_J210_ma,-41.556763,-153.8481
P_ni_J227_ma,411.09457,-512.18854
P_ni_J260_ma,-38.844055,-154.95294
P_ni_J361_roar,-15.207537,-172.57446
P_ni_J363_roar,-18.561989,-171.77531
P_ni_J371_roar,-17.79215,-175.6508
P_ni_J373_roar,-34.89888,-191.34563
P_ni_J381_roar,-32.60386,-189.9854
P_ni_J385_roar,-28.691172,-188.9238
P_ni_J389_roar,-14.649222,-191.34981
P_ni_J417_roar,-21.31375,-174.21628
P_ni_J434_ma,-37.79288,-145.00803
P_ni_J461_ma,-44.415497,-150.57146
P_ni_J462_ma,-39.684322,-143.07117
P_ni_J485_ma,-35.95758,-140.48878
P_ni_J551_arsu,-147.27713,155.34393
P_ni_J602_arsu,-149.97093,150.97112
P_ni_J603_arsu,-143.9472,147.12616
P_ni_J614_arsu,-153.73543,148.61084
P_ni_J617_arsu,-147.02426,148.7092
P_ni_J684_roar,-25.936686,-173.32486
P_ni_J724_roar,-35.180363,-161.38321
P_ni_T10204_suta,-147.29472,123.660934
P_ni_T10673_pa,78.6825,172.01514
P_ni_T10940_pa,69.61266,133.82571
P_ni_T10967_suta,-153.10501,136.19452
P_ni_T11193_pa,62.15591,144.74641
P_ni_T11222_pa,61.82483,135.05908
P_ni_T11888_suta,-143.961,133.38464
P_ni_T12345_pa,73.63056,140.89731
P_ni_T12854_pa,67.624664,141.62495
P_ni_T14543_suta,-156.06387,135.83679
P_ni_T15863_jigu,-52.217285,-157.04568
P_ni_T15868_jigu,-51.63092,-167.31287
P_ni_T15871_jigu,-49.566414,-170.62552
P_ni_T15938_pu,222.6224,-40.256817
P_ni_T1642_pa,60.93309,132.13484
P_ni_T16698_suta,-145.17755,127.52868
P_ni_T18703_pa,68.823364,138.96097
P_ni_T22153_jigu,-44.629467,-165.53903
P_ni_T3261_jigu,-47.353004,-166.38504
P_ni_T3609_pu,225.44228,-32.789078
P_ni_T3611_pu,222.49599,-32.14439
P_ni_T369_ma,-66.00967,-149.00089
P_ni_T3817_pu,231.98347,-33.964333
P_ni_T4043_pu,229.53235,-28.453629
P_ni_T4051_pu,229.0538,-40.217873
P_ni_T4313_pu,240.14671,-44.611317
P_ni_T4404_pu,244.74092,-39.882996
P_ni_T443_ma,-41.126476,-167.15152
P_ni_T467_ma,-44.3461,-159.11414
P_ni_T5850_pu,242.53172,-41.88682
P_ni_T5940_pu,235.61438,-38.313713
P_ni_T5974_pu,229.29323,-35.95934
P_ni_T6243_In,235.08696,-32.21907
P_ni_T9076_suta,-145.902,130.42635
