"","pop 1","pop 2","pop 3","pop 4","pop 5","pop 6","pop 7","pop 8","pop 9"
"1",10.2,20.8,16.6666666666667,13.1666666666667,20.1666666666667,15,10.6666666666667,11.9242424242424,11.7333333333333
"2",10.3333333333333,18,8.66666666666667,9.5,17.8333333333333,10,11.3333333333333,11.1515151515152,15.7111111111111
"3",14.4666666666667,15.6,12.6666666666667,11.1666666666667,15.3333333333333,13,12.6666666666667,12.2121212121212,16.3111111111111
"4",15.2666666666667,19.0666666666667,16.6666666666667,16,22.6666666666667,20,17.3333333333333,15.4545454545455,16.2666666666667
"5",11.6,19.8,12.6666666666667,14.6666666666667,23.8333333333333,17,18.6666666666667,18.1515151515152,16.2222222222222
"6",14.6666666666667,20,16.6666666666667,13.5,21.1666666666667,12,19.3333333333333,20.1969696969697,17.0444444444444
"7",16.8,20.4666666666667,18,16.1666666666667,21,12,18,21.2272727272727,15.6222222222222
"8",14.3333333333333,16,18,13.5,18.6666666666667,19,16.6666666666667,18.4090909090909,12.6
"9",14.0666666666667,19,17.3333333333333,14.6666666666667,20.3333333333333,22,20,17.4393939393939,15.4
"10",14.8,20.6,15.3333333333333,20.3333333333333,25.1666666666667,20,22,19.2424242424242,25.0444444444444
"11",14.8,18.5333333333333,13.3333333333333,19.6666666666667,20.6666666666667,20,18.6666666666667,18,22.6666666666667
"12",14.6,18.7333333333333,11.3333333333333,16.1666666666667,18.1666666666667,14,15.3333333333333,18.4848484848485,15.3333333333333
"13",13.9333333333333,18,10.6666666666667,13.1666666666667,19.6666666666667,11,10,16.6818181818182,13.4666666666667
"14",17.4666666666667,21,16,13,22.6666666666667,16,8.66666666666667,15.7878787878788,17.9777777777778
"15",19.4,21.4,15.3333333333333,16,22,17,22.6666666666667,21.7121212121212,20.2666666666667
"16",13.1333333333333,15,8.66666666666667,17.8333333333333,17,13,24.6666666666667,21.6515151515151,16.8222222222222
"17",12.6,13.8,10,21.1666666666667,17.6666666666667,17,18,17.4848484848485,18.4888888888889
"18",12.2,20,13.3333333333333,25,19.3333333333333,22,24.6666666666667,19.4090909090909,18.3111111111111
"19",11.4666666666667,23.4666666666667,13.3333333333333,22.1666666666667,20.3333333333333,23,26.6666666666667,23.2878787878788,15.7777777777778
"20",10.8,21.5333333333333,14,18.8333333333333,17.3333333333333,21,20,18.8484848484848,12.6666666666667
"21",13.2,21.6666666666667,22.6666666666667,22.5,24,23,16,18.8636363636364,16.1555555555556
"22",16.9333333333333,25,21.3333333333333,23.6666666666667,25.6666666666667,22,16.6666666666667,23.5757575757576,21.9333333333333
"23",14.6666666666667,19.4666666666667,10.6666666666667,19.1666666666667,17.5,15,12.6666666666667,20.9090909090909,21.7555555555556
"24",10.2,13.5333333333333,8,12.6666666666667,12.3333333333333,11,9.33333333333333,15.3787878787879,16.9777777777778
"25",11.6666666666667,17,10,12,14.1666666666667,13,14.6666666666667,16.0454545454545,17.6444444444444
"26",14.6,21.6666666666667,11.3333333333333,15.5,20,25,24,24.9545454545455,18.1777777777778
"27",14.2666666666667,20.6666666666667,13.3333333333333,15.1666666666667,19.1666666666667,30,20.6666666666667,23.7878787878788,14.1333333333333
"28",15.8666666666667,14.1333333333333,12.6666666666667,11.1666666666667,15.8333333333333,19,8.66666666666667,14.9393939393939,13.4666666666667
"29",14.7333333333333,18.0666666666667,8.66666666666667,10.5,14,12,18,17.9848484848485,14.6222222222222
"30",14.1333333333333,21.4,10.6666666666667,13.6666666666667,18,17,21.3333333333333,20.3333333333333,17.0888888888889
"31",8.93333333333333,13.6666666666667,13.3333333333333,14.1666666666667,19.1666666666667,20,16.6666666666667,15.1060606060606,16.9333333333333
"32",8.2,11.8666666666667,13.3333333333333,11.5,17.1666666666667,21,20,15.1363636363636,14.1111111111111
"33",13.9333333333333,13.2,14.6666666666667,14.3333333333333,12.6666666666667,21,17.3333333333333,19.5151515151515,13.5111111111111
"34",13.2666666666667,14.2666666666667,10.6666666666667,15.8333333333333,12.5,16,14.6666666666667,16.530303030303,10.0666666666667
"35",12.3333333333333,14.4,6,10.6666666666667,10.5,11,13.3333333333333,10.0454545454545,7.4
"36",17.6666666666667,19.9333333333333,8.66666666666667,18.3333333333333,14,16,18.6666666666667,16.5606060606061,14.8444444444444
"37",15.6666666666667,21.6,13.3333333333333,24.3333333333333,18.8333333333333,21,23.3333333333333,21.8030303030303,17.2222222222222
"38",9.66666666666667,14.3333333333333,14,20.3333333333333,12.5,16,18.6666666666667,16,11.8444444444444
"39",13.2666666666667,16.5333333333333,18,20.1666666666667,18.5,12,18,15.8333333333333,17.4
"40",15.0666666666667,22.6666666666667,19.3333333333333,19.8333333333333,19.3333333333333,9,19.3333333333333,19.530303030303,23.2666666666667
"41",12.0666666666667,24.9333333333333,15.3333333333333,21,18.8333333333333,7,18.6666666666667,18.0606060606061,17.7777777777778
"42",10.4666666666667,19.4666666666667,12.6666666666667,22.5,24,9,23.3333333333333,20.5454545454545,16.3111111111111
"43",11.8666666666667,15.5333333333333,10,20.6666666666667,18.1666666666667,11,27.3333333333333,24.6060606060606,20.7111111111111
"44",10.6,13.5333333333333,8,17,17.6666666666667,14,22.6666666666667,20.9242424242424,18.5555555555556
"45",9.6,14.6,8.66666666666667,16.1666666666667,19.3333333333333,12,14,15.3939393939394,13.5555555555556
"46",8.46666666666667,14.9333333333333,9.33333333333333,15.6666666666667,14,20,13.3333333333333,16.4090909090909,13.2444444444444
"47",7.6,13.3333333333333,12.6666666666667,14.5,15.5,33,17.3333333333333,18.5,17.2222222222222
"48",10.6,14.6666666666667,16,14.8333333333333,15.8333333333333,24,17.3333333333333,13.8787878787879,17.6444444444444
"49",10.4,13.1333333333333,12.6666666666667,11.1666666666667,14,12,16.6666666666667,12.1666666666667,13.4
"50",10.6666666666667,17.4666666666667,12,13.3333333333333,20.3333333333333,17,24,20.6969696969697,15.8444444444444
"51",12.6666666666667,21.6666666666667,16,17.8333333333333,21.1666666666667,21,22,24.6969696969697,16.0444444444444
"52",10.6666666666667,18.2666666666667,12.6666666666667,15.6666666666667,15.1666666666667,22,17.3333333333333,19.3939393939394,12.6666666666667
"53",10.6666666666667,11.9333333333333,10.6666666666667,16.1666666666667,12.3333333333333,19,16,16.969696969697,13.1777777777778
"54",11.5333333333333,10.0666666666667,12.6666666666667,16,10.8333333333333,11,15.3333333333333,15.7272727272727,14.6888888888889
"55",11.4666666666667,13.9333333333333,12,18.8333333333333,13.5,18,21.3333333333333,15.2878787878788,12.9555555555556
"56",13.5333333333333,20.1333333333333,19.3333333333333,19.8333333333333,18.8333333333333,24,26,19.0606060606061,13.1555555555556
"57",13.3333333333333,20.1333333333333,22,18.3333333333333,21,19,28.6666666666667,21.2121212121212,15.5777777777778
"58",11.8,17.2,15.3333333333333,15.3333333333333,19,13,21.3333333333333,15.3181818181818,13.9777777777778
"59",11.4,19.4666666666667,12.6666666666667,10.6666666666667,17.5,15,15.3333333333333,14.2878787878788,18
"60",11.5333333333333,25.2,20.6666666666667,13.3333333333333,20.6666666666667,16,14,16.3030303030303,20.3555555555556
"61",14.3333333333333,22.6666666666667,20.6666666666667,17.5,19.1666666666667,21,16,15.6969696969697,17.1111111111111
