,0,1
H_oc_A311_jigu,-315.6958,-1709.4191
H_oc_T15847_jigu,2515.2217,1501.2783
H_oc_T355_jigu,185.84937,-21.207169
H_pe_A24346_pu,-62.620167,110.89058
H_ro_A409_ma,-31.152813,-52.389633
H_ro_A410_ma,-151.82529,0.08695857
H_ro_A521_ma,-163.80644,-14.28601
H_ro_A547_ma,210.42192,-34.374733
H_ro_A551_ma,-126.65067,-11.227515
H_ro_J213_ma,224.49956,-44.874687
H_ro_J305_ma,274.20166,-41.68636
H_ro_J508_ma,324.4199,-35.56445
H_ro_J774_ma,268.94156,-10.712745
H_ro_J775_ma,285.97626,-20.002205
H_ro_J796_ma,195.8247,-55.804882
H_ro_T1842_ma,298.58368,-0.6090614
H_ro_T366_ma,280.7688,-63.96398
H_ro_T385_ma,214.44055,-9.129151
H_ro_T471_ma,299.67554,-45.65308
H_st_77860_arsu,-30.71543,-0.6163026
H_st_78249_arsu,-85.3429,90.49778
H_st_80727_arsu,7.5672965,49.16799
H_st_80800_arsu,-88.23602,65.23723
H_st_81143_arsu,-21.328825,-34.71485
H_st_81279_suta,-94.152626,23.315077
H_st_85680_arsu,-6.006536,165.80214
H_st_85970_arsu,-160.64017,24.925835
H_st_86405_suta,-60.274704,18.192743
H_st_A11597_pa,32.352997,342.14044
H_st_A14546_suta,-2.4035518,85.92955
H_st_A15208_pa,7.694989,333.63275
H_st_A15210_pa,35.862404,312.71024
H_st_A16571_pa,20.518833,66.23265
H_st_A272_arsu,-1195.2242,104.07179
H_st_A273_arsu,-186.84892,-18.67868
H_st_A4899_suta,-158.13626,59.791027
H_st_A7597_pa,23.619688,310.18964
H_st_A9955_pa,-140.90056,123.079
H_st_J364_roar,-3.9973378,-243.5301
H_st_J368_roar,-66.22218,-246.57637
H_st_J370_roar,-15.473089,-321.44537
H_st_J374_roar,-42.11463,-272.50137
H_st_J408_roar,-18.718279,-274.52637
H_st_J525_arsu,-213.56625,-43.12562
H_st_J530_arsu,-223.59207,-60.55535
H_st_J536_arsu,-235.29893,-45.19026
H_st_J572_arsu,5.663917,-48.118946
H_st_J621_roar,-44.664597,-296.21295
H_st_J664_roar,-104.91858,-265.866
H_st_J665_roar,-33.677868,-254.99123
H_st_J711_roar,-4.4744034,-291.66214
H_st_J762_roar,-89.3131,-251.84703
H_st_J765_roar,-47.08949,-315.45474
H_st_T10207_suta,-18.111862,78.8677
H_st_T11900_suta,-107.70879,103.37648
H_st_T12194_suta,-125.66256,154.15936
H_st_T16744_pa,13.151175,361.00418
H_st_T17858_pa,-13.066892,131.67802
H_st_T24564_suta,-144.77159,141.75264
H_st_T7114_suta,-159.26761,78.074104
