,0,1
H_oc_A311_jigu,-432.09955,-1.2061602
H_oc_T15847_jigu,-416.889,-13.900362
H_oc_T355_jigu,1145.8452,105.46517
H_pe_A24346_pu,-174.8034,-225.64522
H_ro_A409_ma,-376.38864,-476.77927
H_ro_A410_ma,-94.308136,-205.04001
H_ro_A521_ma,-119.24796,-163.3359
H_ro_A547_ma,1209.5361,72.67535
H_ro_A551_ma,-64.781425,-220.87709
H_ro_J213_ma,1162.7192,55.03947
H_ro_J305_ma,1081.544,-51.432594
H_ro_J508_ma,1059.4153,0.51686215
H_ro_J774_ma,1041.0879,-20.92585
H_ro_J775_ma,1067.7295,-32.596306
H_ro_J796_ma,1184.304,76.386856
H_ro_T1842_ma,1013.68585,-25.824041
H_ro_T366_ma,1073.3302,25.23876
H_ro_T385_ma,1153.8712,78.269104
H_ro_T471_ma,1089.1577,56.451714
H_st_77860_arsu,-325.39236,-491.3977
H_st_78249_arsu,-127.8085,-216.52495
H_st_80727_arsu,-272.58487,-446.5628
H_st_80800_arsu,-76.32605,-172.28264
H_st_81143_arsu,-339.863,-522.17316
H_st_81279_suta,-29.121073,-188.59352
H_st_85680_arsu,-98.1834,-256.77106
H_st_85970_arsu,88.59555,-154.4611
H_st_86405_suta,33.3666,-442.50482
H_st_A11597_pa,55.77347,937.5275
H_st_A14546_suta,-251.81558,-458.3499
H_st_A15208_pa,85.1528,938.63226
H_st_A15210_pa,86.4767,975.1216
H_st_A16571_pa,-219.53673,-444.7343
H_st_A272_arsu,-355.4853,-490.023
H_st_A273_arsu,-65.730705,-91.3902
H_st_A4899_suta,-77.597374,-286.58176
H_st_A7597_pa,72.24398,982.98785
H_st_A9955_pa,-120.55673,-394.7801
H_st_J364_roar,-732.9298,146.17346
H_st_J368_roar,-776.73804,108.86841
H_st_J370_roar,-708.1371,220.29573
H_st_J374_roar,-744.6857,126.978836
H_st_J408_roar,-784.85913,173.04973
H_st_J525_arsu,-62.156338,-62.492413
H_st_J530_arsu,-73.039894,-35.16465
H_st_J536_arsu,-48.76759,-41.086132
H_st_J572_arsu,-396.005,-495.5015
H_st_J621_roar,-690.9808,172.92049
H_st_J664_roar,-816.4113,56.019943
H_st_J665_roar,-703.4958,132.96205
H_st_J711_roar,-762.20184,174.14355
H_st_J762_roar,-800.56537,69.64472
H_st_J765_roar,-700.38824,193.31488
H_st_T10207_suta,-257.34982,-484.1631
H_st_T11900_suta,-95.74411,-304.51245
H_st_T12194_suta,-76.43034,-355.0375
H_st_T16744_pa,38.056374,970.5377
H_st_T17858_pa,-133.1652,-262.53098
H_st_T24564_suta,-102.61282,-337.00146
H_st_T7114_suta,-103.57578,-419.9692
