"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61"
"16",358.99665074786,362.100156591571,68.2536236002727,94.610067445894,90.0374935418678,388.960630987398,373.062997732341,565.653394462276,616.902577862132,68.0641130432479,87.3223120182021,74.1378136762071,105.370254324034,59.7598491430868,401.183717427789,0,389.959344665365,362.297721176393,369.865694719809,283.000527796529,286.430805943722,368.176133713407,384.855050561594,254.821040605312,262.269988271058,80.2047995128159,378.607404738074,380.196414198858,268.051484190291,264.389267850101,264.344014658843,257.446906301339,268.520766674104,258.173238210841,76.1296160421439,99.2754114719099,252.36190611197,251.536321578386,84.3805607118464,416.21750160143,373.477788413725,353.978044986037,256.606608550531,410.275713126663,360.57346306848,91.8572159290898,93.4217575695199,69.1399944909449,394.717635430385,385.976112950519,85.0513807051875,257.8291706481,253.31930905719,397.257559559507,290.171352042782,293.002610844293,371.021730233394,260.721461513257,69.9092689696589,312.393911849197,395.426119046268
"17",100.075600126582,102.051494050613,385.348579451485,410.63214859283,407.861331046889,185.430268470352,162.779108245209,374.986105418721,433.282139047779,383.358370546182,388.918181516645,385.403168115469,409.214115295491,385.128326446145,476.367572538218,389.959344665365,0,155.553425880999,160.481390361467,397.099791784424,400.198783335073,153.988841364769,178.595605459631,380.777286274376,387.8787240075,390.38044004514,114.43153956737,120.383332430683,396.214083687334,390.06248293928,390.114758541731,382.711200578101,398.993265999618,383.90119811587,387.555491755175,386.978187012244,383.620728971799,379.575321776816,392.203848977241,491.064761466955,148.788660275391,119.059176712508,378.5593438805,485.279703676471,94.4651253901838,396.29677063823,398.98497761727,392.162379266216,470.424062785935,460.613615347217,399.731187656028,381.669733666276,379.894070656566,473.874347656502,403.318025480248,406.445970856099,105.677656070006,386.514128522973,394.919821367964,425.280913341598,470.926736258777
"18",133.316885907368,130.579082035521,357.001160605045,381.717496540678,378.144153729051,108.027859744681,104.794242677634,338.401646357959,398.129693714917,354.755169749403,362.061369463077,356.370065656353,380.331757567619,356.512943152588,448.46315779791,362.297721176393,155.553425880999,0,87.6981238916887,367.612608973593,370.951259174388,99.6688563851838,99.2117633540925,353.367878218498,360.540848198396,361.864796204475,145.500671581475,149.794343296029,368.273585322615,361.657799052112,361.386975959432,354.473118761045,370.151889274057,355.486265837166,358.239696947428,358.730160106554,355.503867645742,351.549413517842,363.594924270829,463.153698194777,92.5875617004974,86.994600747845,349.108979426531,457.810130457913,129.558239280103,367.760749586016,370.553779522635,364.33863655535,443.703713171899,433.289777073864,371.224040807359,353.15054528563,351.310944628722,446.803794296203,374.172293436882,377.418461753035,138.411063013729,358.403348609128,365.31391558064,398.00878133924,445.039675945035
"19",139.049060564748,136.009893636338,365.150561242353,389.922005547662,385.967540967633,112.698685975951,110.077637839151,343.277254165412,404.064104362613,362.75285302371,369.817872164848,364.71355256973,388.411961231574,364.02246564245,455.707320157075,369.865694719809,160.481390361467,87.6981238916887,0,375.74851051628,379.097321479685,103.743857601464,108.357826082699,360.247080036336,367.51566004522,369.75287598337,150.713914415663,155.043791581378,375.006764049561,369.047573104344,368.352737100642,360.444203843928,377.676646887144,362.596267683431,366.702948992394,366.855452708273,362.922966792023,358.758141605157,371.817294679102,471.325979580088,100.370711933636,91.2865541176507,357.066020276647,464.645438723936,134.748633613007,375.129382820669,378.764059969968,371.590260745364,451.016022222134,441.344143369093,379.201589948516,360.89706185119,358.416740714252,453.900285166428,381.782571229107,384.209831664956,143.868773973826,365.560052354099,373.823856089563,402.749145400081,451.973663412298
"20",365.179061317903,368.592443535259,281.10876872825,300.672862571434,298.824607758887,395.462174222752,379.565595016657,571.221515942006,619.204307227609,279.184922791539,280.882280321421,275.201211306032,306.145343431976,281.058001166824,427.698953152552,283.000527796529,397.099791784424,367.612608973593,375.74851051628,0,81.5788724635222,374.540634695531,391.423600812515,113.890078145498,126.689695776328,276.359260198921,385.304319992811,385.804978110124,131.968664989376,123.045969760527,124.467613222514,113.477282570996,129.111055126216,111.47829275291,272.665445228349,259.601969837355,123.820823070185,106.429607839918,290.671110138933,443.537675660634,378.867617242421,361.233619783294,83.6431714304433,436.01727628387,366.924232398349,294.329567594848,297.824734371779,288.138135042133,421.789816246251,412.691237801236,295.860168363591,104.084453949305,102.684287065152,424.273807022567,84.9831763849994,87.4151889411557,376.719893090517,114.397380912584,288.971678241968,100.143088873005,422.071070848035
"21",368.026323356974,371.293961549506,284.490450859483,304.459183124955,302.329316257789,398.861683289768,382.646049589965,575.278393716753,620.757318786652,282.855022070897,284.378375091025,279.176809456874,309.735028076518,284.250992016786,430.45978756197,286.430805943722,400.198783335073,370.951259174388,379.097321479685,81.5788724635222,0,377.441723808099,394.203815762159,116.052063191353,129.010704154511,279.982314084504,387.790139388191,389.137502550105,133.582153728627,124.907558589959,126.889190083206,115.334321629773,131.364513179063,114.729140182677,276.398224640891,263.437262781275,126.253463826675,108.025532325991,294.035474480167,445.986661515124,382.28692225708,364.186678029155,84.5948074685658,438.550504973363,369.999496091095,298.869454643963,301.521956984347,291.687835047826,424.490219066594,415.727972158818,299.759991845183,106.660687637282,104.339366505698,426.273102473404,89.7653463418587,90.919793341181,380.195542956996,116.035970158687,292.732058646831,105.202344877765,425.08801794881
"22",131.2299866091,128.09837642164,363.194900488587,388.392527435444,384.346493644069,116.068052119102,102.744493789495,337.737062451904,398.28304283811,361.09228075554,368.296177152022,362.899627002327,386.620567076748,362.667613484866,455.185078392911,368.176133713407,153.988841364769,99.6688563851838,103.743857601464,374.540634695531,377.441723808099,0,118.70164369306,358.614633366779,366.55055941179,367.804044309137,143.475518529148,146.768605820914,373.994108341057,367.425258224028,366.926610934099,360.063374036485,376.243312549617,361.344305838543,364.764773133875,364.694476454314,361.220928082978,357.172716622083,369.965207784316,468.391041458275,108.707485505454,88.3100578886417,355.624579570694,463.202020716176,127.141680629879,374.006440741752,377.011308146906,371.093047405552,449.701174459843,440.215748813575,377.476240453073,359.359651177381,357.145118354405,453.053263684829,380.487638985099,383.804168709781,136.333801487944,364.103860548781,372.743914716331,403.89141118495,450.798955688356
"23",156.47737664052,153.905718735099,379.935062791287,404.830614251743,400.706115503486,125.107164037443,125.203046072178,360.035596244308,421.132586958446,377.425817085055,384.26604523698,378.600263340421,402.489278509336,378.784039794916,471.736715771192,384.855050561594,178.595605459631,99.2117633540925,108.357826082699,391.423600812515,394.203815762159,118.70164369306,0,375.07862382513,383.039534840959,384.433076099947,168.685400299413,173.134610690913,390.37425626872,384.314592967751,383.785415763288,376.931105630397,392.882282820736,377.734474793751,380.948326358696,381.072848586077,378.230738577048,373.817560973821,386.306241888133,485.931714493073,115.899335956563,109.816160019134,372.520259493882,479.559820340362,152.880251851168,390.82112615496,393.363422152913,386.71186102927,465.686517656577,456.024376691619,393.83668130008,376.25019406249,373.899412831467,469.200969713712,397.15538952908,399.801059916773,161.895067202005,380.606076042,389.054051724678,420.041449889346,467.27762308193
"24",349.145419629708,352.52455156144,252.993174137124,273.937707725173,270.815285659676,379.924357776444,363.287220086008,557.21992065088,604.654308469916,252.068044574028,253.140762251296,247.733222719544,279.166153714046,252.906038357179,410.393940644457,254.821040605312,380.777286274376,353.367878218498,360.247080036336,113.890078145498,116.052063191353,358.614633366779,375.07862382513,0,69.4790757254023,247.797519940399,368.632476027052,369.638355339312,84.5779989095711,78.9005834813602,71.9708256264649,68.0720902045001,94.4634129011756,84.5730706741377,244.238426954576,229.808253702877,83.7538233275699,81.5926153255487,263.278505813568,425.916772458344,364.046325651914,345.226138061321,66.5576129046116,417.911555100822,351.020439198451,267.727413315365,270.186948098225,260.667877335251,404.106730874356,395.250377717591,268.888151318763,69.510063051064,63.6323072833943,407.486179718805,122.416938354046,122.707443704037,361.413164269186,76.9374164974579,261.513129732593,144.582923665454,404.93071121344
"25",356.614368477278,360.441147500576,260.881088393445,281.02372158351,278.448484823215,386.742367447398,372.052485809038,563.993567844801,612.193016231583,259.340485024236,260.7270546393,255.0029287404,286.814331875401,259.879148592365,418.477707609944,262.269988271058,387.8787240075,360.540848198396,367.51566004522,126.689695776328,129.010704154511,366.55055941179,383.039534840959,69.4790757254023,0,256.013737664493,376.004599368475,378.072048440303,87.0889464547227,84.6926580065533,78.2296768894957,72.79633688813,100.912854208036,95.9577501175568,251.410911650171,237.255951542367,88.7580745959056,93.2044050898677,270.217273719557,433.62798109014,371.769672094569,353.067253755384,78.949910568938,426.257938060896,358.604930900023,274.468484108657,277.714996820005,267.838746620327,411.712676893701,403.333037294584,276.237590326275,83.2798486441228,76.012395106175,415.171416795506,135.303341482294,135.823756895381,369.054937243855,83.485323713723,268.712790357211,158.224312743761,413.138877910763
