Institution,Tissue_No,CollectNo,amcc,genus,species,lat,long,population,pop_abbv,Code
MPEG,T2166,MPDS665,,Thamnophilus,aethiops,-7.466666667,-62.81666667,Machado,ma,T_ae_T2166_ma
MPEG,T2207,MPDS720,,Thamnophilus,aethiops,-7.55,-62.55,Machado,ma,T_ae_T2207_ma
MPEG,T24591,LCA081,,Thamnophilus,aethiops,-4.616666667,-56.6,Sucunduri-Tapajós,suta,T_ae_T24591_suta
MPEG,T3237,OP115,,Thamnophilus,aethiops,-10.83333333,-64.75,Jiparaná-Guaporé,jigu,T_ae_T3237_jigu
MPEG,T3260,OP150,,Thamnophilus,aethiops,-10.83333333,-64.75,Jiparaná-Guaporé,jigu,T_ae_T3260_jigu
MPEG,T3376,CUJ133,,Thamnophilus,aethiops,-10.83333333,-64.75,Jiparaná-Guaporé,jigu,T_ae_T3376_jigu
MPEG,T4355,MPDS721,,Thamnophilus,aethiops,-7.55,-62.55,Machado,ma,T_ae_T4355_ma
MPEG,T742,JRT060,,Thamnophilus,aethiops,-2.6,-56.18333333,Sucunduri-Tapajós,suta,T_ae_T742_suta
MPEG,T7941,JRT138,,Thamnophilus,aethiops,-2.466666667,-56,Sucunduri-Tapajós,suta,T_ae_T7941_suta
MPEG,T8268,TM006,,Thamnophilus,aethiops,-6.066666667,-55.31666667,Para,pa,T_ae_T8268_pa
