spec,lat,long
Thamnophilus,-12.8949,-71.4038
Thamnophilus,-12.8591,-71.4027
Thamnophilus,-12.8591,-71.4027
Thamnophilus,-12.7945,-71.3979
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.7893,-71.3914
Thamnophilus,-12.8404,-71.3888
Thamnophilus,-12.854,-71.3856
Thamnophilus,-12.854,-71.3856
Thamnophilus,-12.854,-71.3856
Thamnophilus,-12.854,-71.3856
Thamnophilus,-12.7717,-71.3855
Thamnophilus,-12.7717,-71.3855
Thamnophilus,-12.7717,-71.3855
Thamnophilus,-11.8531,-71.3853
Thamnophilus,-12.9016,-71.3852
Thamnophilus,-12.9016,-71.3852
Thamnophilus,-12.9016,-71.3852
Thamnophilus,-12.9016,-71.3852
Thamnophilus,-12.766667,-71.383333
Thamnophilus,-12.5676,-71.3812
Thamnophilus,-12.5676,-71.3812
Thamnophilus,-12.8664,-71.3809
Thamnophilus,-12.8664,-71.3809
Thamnophilus,-12.8712,-71.3759
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-12.8702,-71.3756
Thamnophilus,-11.8667,-71.3667
Thamnophilus,-11.8667,-71.3667
Thamnophilus,-11.8667,-71.3667
Thamnophilus,-11.8667,-71.3667
Thamnophilus,-12.866667,-71.366667
Thamnophilus,-12.8602,-71.3617
Thamnophilus,-11.9377,-71.2785
Thamnophilus,-12.666944,-71.270556
Thamnophilus,-12.6525,-71.2447
Thamnophilus,-12.6525,-71.2447
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6323,-71.2402
Thamnophilus,-12.6374,-71.2365
Thamnophilus,-12.65,-71.233333
Thamnophilus,-12.65,-71.233333
Thamnophilus,-12.65,-71.233333
Thamnophilus,-12.6564,-71.2249
Thamnophilus,-12.6564,-71.2249
Thamnophilus,-12.6564,-71.2249
Thamnophilus,-12.6667,-71.2167
Thamnophilus,-12.5749,-71.2
Thamnophilus,-12.518,-71.1948
Thamnophilus,-12.5237,-71.1786
Thamnophilus,-12.0939,-71.1143
Thamnophilus,-12.1201,-71.0852
Thamnophilus,-12.1737,-71.0239
Thamnophilus,-12.994,-71.005
Thamnophilus,-12.994,-71.005
Thamnophilus,-12.994,-71.005
Thamnophilus,-12.2663,-70.9409
