"","pop 1","pop 2","pop 3","pop 4","pop 5","pop 6","pop 7","pop 8"
"1",6.5,7.92424242424242,5,7.04545454545454,4.15555555555556,5.70909090909091,5.26666666666667,9.27272727272727
"2",8,7.24242424242424,3.4,5.90909090909091,5.06666666666667,6.32727272727273,7.24444444444445,8.47272727272727
"3",12,12.5454545454545,2.4,4.71212121212121,5.02222222222222,6.10909090909091,6.77777777777778,9.52727272727273
"4",12.5,11.0757575757576,2.86666666666667,4.74242424242424,3.44444444444445,5.16363636363636,4.71111111111111,6.83636363636364
"5",11,7.74242424242424,4.93333333333333,6.37878787878788,3.77777777777778,6.58181818181818,6.08888888888889,5.67272727272727
"6",10,9.81818181818182,7.46666666666667,9.07575757575758,8.02222222222222,9.38181818181818,8.88888888888889,9.16363636363637
"7",13,13.0757575757576,5.93333333333333,7.62121212121212,6.95555555555556,7.12727272727273,6.37777777777778,10.7636363636364
"8",11.1666666666667,11.6212121212121,3.53333333333333,3.95454545454545,2.82222222222222,3.27272727272727,4.11111111111111,5.45454545454546
"9",8.5,10.5757575757576,4.93333333333333,4.66666666666667,3.06666666666667,4,6.22222222222222,4.69090909090909
"10",15.6666666666667,16.969696969697,7.8,6.81818181818182,6.33333333333333,5.96363636363636,9.33333333333334,9.30909090909091
"11",15,19.3484848484848,7.8,7.1969696969697,9.44444444444445,8.25454545454546,8.93333333333334,9.09090909090909
"12",12,17.8636363636364,8,7.86363636363636,8.88888888888889,9.27272727272727,7.04444444444445,8.50909090909091
"13",13.6666666666667,16.9393939393939,12.4,12.5,13.0222222222222,13.4181818181818,12.8888888888889,10.2545454545455
"14",11,12,9.6,8.87878787878788,10.2666666666667,9.96363636363636,10.4222222222222,8.98181818181818
"15",10.6666666666667,9.03030303030303,5.8,4.68181818181818,5.73333333333334,6.76363636363636,5.37777777777778,7.41818181818182
"16",10.1666666666667,11.5606060606061,4.73333333333333,5.34848484848485,6.93333333333333,7.05454545454545,4.68888888888889,5.45454545454546
"17",8.33333333333333,10.2424242424242,5.46666666666667,5.66666666666667,5.4,5.85454545454546,3.91111111111111,6.14545454545455
"18",12.8333333333333,12.1818181818182,6.13333333333333,5.46969696969697,5.88888888888889,8.50909090909091,6.08888888888889,8.83636363636364
"19",17.1666666666667,16.0757575757576,3.73333333333333,5.12121212121212,6.93333333333333,8.25454545454546,5.8,9.49090909090909
"20",13.1666666666667,15.0909090909091,4.26666666666667,5.98484848484848,6.64444444444445,9.30909090909091,6.8,9.6
"21",7.16666666666667,11.3939393939394,4.06666666666667,4.24242424242424,3.71111111111111,6.72727272727273,6.35555555555556,6.69090909090909
"22",15,14.2727272727273,5.73333333333333,5.25757575757576,4.95555555555556,6.03636363636364,4.91111111111111,4.83636363636364
"23",22.1666666666667,18.5454545454545,8.06666666666666,7.53030303030303,9.37777777777778,10.3272727272727,7.17777777777778,10.0363636363636
"24",17.3333333333333,17.9090909090909,8.8,9.93939393939394,11.1111111111111,11.4545454545455,9.53333333333333,15.6727272727273
"25",13.1666666666667,15.969696969697,9.06666666666667,10.3030303030303,9.4,9.41818181818182,7.4,11.1636363636364
"26",9.5,13,8.2,8.18181818181818,7.26666666666667,7.12727272727273,6.22222222222222,7.45454545454546
"27",8,10.7878787878788,7.13333333333333,6.24242424242424,6.17777777777778,6.43636363636364,7.77777777777778,7.81818181818182
"28",12.6666666666667,12.7121212121212,5.33333333333333,5.16666666666667,3.71111111111111,4.98181818181818,5.91111111111111,6.18181818181818
"29",13.1666666666667,15.530303030303,5.4,8.16666666666667,7.71111111111111,8.10909090909091,6.77777777777778,7.34545454545455
"30",10.1666666666667,11.5454545454545,7.26666666666667,8.01515151515151,7.53333333333333,7.78181818181818,7.53333333333333,7.16363636363636
"31",10.3333333333333,7.31818181818182,5.2,3.57575757575758,1.91111111111111,3.27272727272727,4.57777777777778,4
"32",12.5,8.5,3.4,3.13636363636364,3.86666666666667,4.25454545454545,3.73333333333333,5.89090909090909
"33",12.3333333333333,11.8636363636364,3.8,4.10606060606061,6,4.65454545454546,3.48888888888889,6.47272727272727
"34",8.66666666666667,13.0151515151515,4.93333333333333,5.71212121212121,4.57777777777778,4.4,4.02222222222222,4.10909090909091
"35",9.16666666666667,13.7272727272727,9.13333333333333,7.71212121212121,5.24444444444445,7.41818181818182,7.46666666666667,8.94545454545455
"36",8.66666666666667,11.6818181818182,8.66666666666667,6.65151515151515,6.08888888888889,7.78181818181818,7.75555555555556,9.09090909090909
"37",7.83333333333333,10.5606060606061,6.8,6.8030303030303,5.51111111111111,7.74545454545455,7.06666666666667,5.12727272727273
