"","pop 1","pop 2","pop 3","pop 4","pop 5","pop 6","pop 7"
"1",0,2,0.945454545454546,0.181818181818182,0.573529411764706,0,0.571428571428571
"2",0,2,0.763636363636364,0,0.220588235294118,0,0.285714285714286
"3",0,1.33333333333333,0,0.509090909090909,0.632352941176471,1.02222222222222,1.33333333333333
"4",0,2,0.981818181818182,1.12727272727273,1.86764705882353,2.64444444444444,1.33333333333333
"5",0,0.666666666666667,1.41818181818182,0.618181818181818,1.35294117647059,1.62222222222222,0.571428571428571
"6",0,0,0.436363636363636,0.181818181818182,0.558823529411765,0.555555555555556,0.857142857142857
"7",0,0.666666666666667,0.436363636363636,0.363636363636364,0.676470588235294,0.911111111111111,0.285714285714286
"8",0,2,0.618181818181818,0.509090909090909,0.779411764705882,1.06666666666667,0.857142857142857
"9",0,1.33333333333333,1.01818181818182,0.327272727272727,0.544117647058823,1.11111111111111,1.14285714285714
"10",0,0,0.836363636363636,0,0,0.4,0.285714285714286
"11",0,0,0,0,0.235294117647059,0.2,1.52380952380952
"12",0,0.666666666666667,0,0,0.352941176470588,0.2,1.52380952380952
"13",0,0.666666666666667,0,0,0.117647058823529,0,0
"14",0,0,0,0,0,0,0
"15",0,0,0,0.690909090909091,0.117647058823529,0,0.285714285714286
"16",0,2.66666666666667,1.01818181818182,3.49090909090909,3.29411764705882,2.8,4
"17",0,4,2.21818181818182,3.16363636363636,3.51470588235294,3.2,4
"18",0,2.66666666666667,1.63636363636364,0.690909090909091,0.455882352941176,0.755555555555556,0.285714285714286
"19",0,1.33333333333333,0.436363636363636,0.945454545454545,0.235294117647059,1.08888888888889,0.571428571428571
"20",0,0,0,0.618181818181818,0.661764705882353,1.53333333333333,0.857142857142857
"21",0,2,0.363636363636364,1.63636363636364,3.17647058823529,2.82222222222222,2.38095238095238
"22",0,2.66666666666667,0.545454545454546,2.36363636363636,3.16176470588235,2.55555555555556,2.66666666666667
"23",0,0.666666666666667,0.181818181818182,0.727272727272727,0.529411764705882,0.533333333333333,0.571428571428571
"24",0,0,0,0,0.426470588235294,0.466666666666667,0.476190476190476
"25",0,0,0,0,0.426470588235294,0.466666666666667,0.476190476190476
"26",0,0.666666666666667,0.181818181818182,0.181818181818182,0.117647058823529,0.2,1.33333333333333
"27",0,3.33333333333333,0.363636363636364,2.58181818181818,1.97058823529412,1.88888888888889,3.42857142857143
"28",0,2.66666666666667,0.363636363636364,2.4,1.97058823529412,1.88888888888889,2.38095238095238
"29",0,0,0.181818181818182,0.181818181818182,0.117647058823529,0.2,0.285714285714286
"30",0,4,1.89090909090909,2.03636363636364,1.76470588235294,1.26666666666667,3.61904761904762
"31",0,5.33333333333333,2.58181818181818,2.18181818181818,2.26470588235294,3.11111111111111,4.0952380952381
"32",0,4,1.81818181818182,0.690909090909091,1.23529411764706,2.31111111111111,1.04761904761905
"33",0,2.66666666666667,1.12727272727273,0.872727272727273,0.852941176470588,0.866666666666667,0.857142857142857
"34",0,0.666666666666667,0.727272727272727,0.836363636363636,0.852941176470588,1.26666666666667,0.571428571428571
"35",0,0.666666666666667,0.727272727272727,0.327272727272727,1.30882352941176,1.62222222222222,1.61904761904762
"36",0,0,0,0,0.573529411764706,0.755555555555556,1.33333333333333
"37",0,0.666666666666667,0.690909090909091,0.181818181818182,0.455882352941176,0.755555555555556,0.571428571428571
"38",0,0.666666666666667,0.690909090909091,0.181818181818182,0.455882352941176,0.755555555555556,0.571428571428571
"39",0,0.666666666666667,0.654545454545455,0.181818181818182,0.573529411764706,0.2,0.285714285714286
"40",0,0.666666666666667,0.654545454545455,0.363636363636364,0.691176470588235,0.4,0.285714285714286
"41",0,0,0,0.181818181818182,0.117647058823529,0.2,0
"42",0,0,0,0,0,0,0
"43",0,1.33333333333333,0.181818181818182,0.909090909090909,0.117647058823529,0,0.285714285714286
"44",0,2,0.181818181818182,0.909090909090909,0.117647058823529,0.8,0.571428571428571
"45",0,2.66666666666667,1.74545454545455,0,0.794117647058824,1,1.04761904761905
"46",0,3.33333333333333,2.25454545454545,0.909090909090909,1.14705882352941,0.2,1.04761904761905
"47",0,2.66666666666667,1.6,1.63636363636364,1.01470588235294,1.2,0.571428571428571
"48",0,2,1.09090909090909,1.45454545454545,1.26470588235294,1.55555555555556,0.761904761904762
"49",0,0.666666666666667,0.181818181818182,0.727272727272727,0.602941176470588,0.355555555555556,0.476190476190476
"50",0,0.666666666666667,0.363636363636364,0.654545454545455,0.882352941176471,1.06666666666667,0.285714285714286
"51",0,1.33333333333333,0.181818181818182,1.01818181818182,1.30882352941176,1.77777777777778,0.857142857142857
"52",0,1.33333333333333,0.618181818181818,0.363636363636364,1.10294117647059,0.711111111111111,0.857142857142857
"53",0,0.666666666666667,0.618181818181818,0,0.676470588235294,0,0.285714285714286
"54",0,0,0,0,0.117647058823529,0,0
"55",0,0.666666666666667,0,0.181818181818182,0.455882352941176,0,1.14285714285714
"56",0,1.33333333333333,0,0.727272727272727,0.794117647058824,0.555555555555556,1.71428571428571
"57",0,1.33333333333333,0.181818181818182,1.16363636363636,1.57352941176471,1.82222222222222,1.04761904761905
"58",0,1.33333333333333,0.363636363636364,1.12727272727273,2.05882352941176,1.82222222222222,0.476190476190476
"59",0,0.666666666666667,0.363636363636364,0.509090909090909,1.36764705882353,0.755555555555556,0.285714285714286
"60",0,0,0.181818181818182,0.545454545454546,0.661764705882353,0.4,0.571428571428571
"61",0,1.33333333333333,0.872727272727273,3.34545454545455,2.42647058823529,1.68888888888889,1.33333333333333
