"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60"
"9",884.953269477995,889.770051460319,469.972608727243,253.493419510618,267.099274630896,78.7226343548252,96.5340925665961,484.982079389839,0,500.963531452151,469.930486459909,450.442645854527,478.478923214674,485.759687107539,490.25001609213,455.685457761974,498.184063833249,462.055290723705,490.812476702199,199.533922902577,112.900274879055,220.548153715801,100.519200939188,247.208279183768,97.8084597672472,89.5425696251709,106.683512727432,129.91572052594,442.792621766818,214.624403212259,465.553325604085,477.5222715608,215.310810698495,245.598213170882,87.5385248033405,139.000025547416,482.381237053849,150.129412167949,373.819446778947,391.560432133546,375.24571955649,376.254286213846,364.553003617074,188.665448377887,178.975409609386,157.399653018922,266.198911990436,371.337267308494,443.781676288778,359.821985748638,359.964118997647,437.687033982768,372.616370319241,243.707237849485,140.726749753707,148.548089167135,414.168015198069,148.848036238398,147.32962690291,144.794155756827
"10",1147.44152387333,1142.83005000265,157.293755399922,575.849182598393,578.775538689289,500.549324299061,505.467926929446,167.240874752145,500.963531452151,0,205.19695969369,191.34327918629,215.64655615196,224.082397426232,176.849083798652,200.68293114611,242.726038029676,156.380906501989,233.993441004111,518.059941537315,499.866243768352,538.41906350128,509.550100493508,558.979008046895,502.979202346838,499.768482092696,505.925162401989,497.268914386971,588.059641484029,533.41452493664,612.357049242751,626.333432382035,536.459311924865,558.616957648485,504.240824688458,500.79651750995,627.487985769663,507.418009993048,558.987082240909,573.773085518736,559.450683749309,559.542414231272,549.028910584937,579.185167486174,565.348230521501,542.425536962047,576.041705000517,554.471385565619,623.83447781815,546.117532758474,545.451575829865,618.518507875945,556.73794045118,563.393818320637,499.935168852319,503.159208071303,559.777917133515,509.853236079324,503.41729950777,501.278660544873
"11",1116.13256216809,1116.34986755093,171.491866931518,544.977608915444,548.945261305361,468.521023945686,474.341927435287,184.480497651287,469.930486459909,205.19695969369,0,102.583997118063,130.372770790596,134.244034472528,189.202564222815,120.579016668978,172.808771410355,153.983987681599,165.129645436692,488.577290462314,468.264621067366,507.716908139819,478.890235966253,529.15392920231,471.492268598538,468.465034603986,474.754406866666,465.881321182192,555.558570032898,504.177693726338,579.998917357483,593.434269390467,506.9762079986,529.057937754172,472.938107827464,470.639025753115,595.947916453986,477.096153388065,528.24479358978,541.028968602419,528.700060411198,529.34468733469,518.618187470272,548.052258742933,534.146184481864,511.401882185371,547.41179817866,524.11665044202,592.795179549114,514.439773383586,514.31877447581,587.398588390878,525.53756558938,533.818191166152,468.989868470614,472.151666551493,526.561401012181,479.080507804748,472.901763370706,470.320512077616
"12",1100.53871922643,1094.62210508902,157.087381328805,526.384302305568,528.460147458585,449.655852824344,455.215794085685,170.461804056479,450.442645854527,191.34327918629,102.583997118063,0,111.950878522589,117.204498381402,175.85743259591,98.0036963443494,153.501514189422,140.742073016705,145.969850257601,468.583835997715,449.709095387529,489.644260862037,459.487225882182,508.633607668751,452.616030412982,450.28128865162,455.79055673476,446.952327466114,538.624280291408,484.023199555404,562.498229933918,575.168658363701,487.082270421733,508.088530819497,454.032779082802,451.944268355067,579.485482495296,458.706314864821,508.642865113,523.933670413076,508.826575127379,509.829601549575,499.577585389317,529.794602644679,516.973045161707,491.802498053224,527.350863237195,504.46148543335,573.425863268416,494.436411214607,495.062382929797,568.93351892286,506.344949901549,513.936443155745,450.278347198628,453.575270014948,509.548627796436,460.835799500031,454.983171631615,452.119652999358
"13",1127.72529974895,1121.37873769788,183.285725350676,554.183941174086,557.197511028321,477.61118138843,483.300188434744,197.007247906648,478.478923214674,215.64655615196,130.372770790596,111.950878522589,0,145.30567342422,201.362180748295,127.449545006129,182.419838586126,166.909562347265,174.195315661039,496.692575677057,477.621808871961,516.447438183649,487.704819577887,537.809522246419,480.876197243314,478.081711317994,483.535148079248,474.562244856664,564.722478726921,512.469042194282,590.470272718108,603.779026959938,515.071687895534,537.405865416333,481.960473657608,479.880568159248,606.089811730065,486.173449304303,536.431213290971,551.838102920437,537.140902285914,537.584845535296,526.499875605131,555.003556563429,544.699704035725,519.785506876391,555.451361620543,532.573855803782,600.850406110457,522.656611303488,521.836527999171,597.114815219504,533.343716806068,542.30695500516,478.327755572201,481.209974884262,537.450764953117,487.696523776132,482.516985493158,478.931369689208
"14",1129.81835457814,1125.60656947145,190.499300412468,561.216410250091,565.01075678823,484.519057477983,489.802439364386,202.583474056146,485.759687107539,224.082397426232,134.244034472528,117.204498381402,145.30567342422,0,208.442224410341,131.843783837485,184.157589132241,171.839971400272,180.578740582497,502.739612984958,484.03162321996,522.818718078724,494.842370637826,542.43038571478,487.319340308317,484.228359821371,489.582623522966,481.161811744754,574.986753115176,519.046253648228,596.693110014051,609.525853596158,522.861117568673,543.132043687809,488.968579438191,485.989490740823,610.715604236595,493.346944950925,544.062272981574,557.495479143498,544.063355507622,544.568901422362,532.232965756114,564.747442190937,551.112532183835,524.816689642983,562.411267236569,538.499747691287,606.698491646637,529.86155729035,531.092159046112,602.890076081302,541.395765839508,548.760678565328,484.868654133594,488.225989486472,544.915626786408,495.484157991451,489.848432250532,485.935483756274
"15",1135.11095139033,1135.70585725694,151.81811117337,564.589561362246,569.678585889469,489.22780397762,494.287173357008,155.595392103659,490.25001609213,176.849083798652,189.202564222815,175.85743259591,201.362180748295,208.442224410341,0,185.187049030309,229.406686064267,145.49436618965,219.677453374203,508.547745647889,489.483415254056,529.589473351494,498.691692565889,549.872458586916,491.978632055519,489.087292680969,495.383120737329,486.92059524277,575.573193050852,523.919909635411,599.185728108592,613.214248876523,527.726364549977,548.713533129381,493.663309105077,491.618506057304,616.239819334938,498.575157827569,548.944644206561,562.743285970117,549.229667154837,549.632394202594,539.245301951981,568.249791860356,556.134508335036,530.997021092683,566.041691260087,545.084010383664,612.882729142828,533.589194989523,535.862699696746,605.593417309903,546.894778393539,554.10466061143,489.572602903134,492.861190956535,547.14172872544,500.352283509355,494.40068868609,491.800173939115
"16",1098.69623713558,1104.48556648404,164.360749879997,530.889106485036,534.746515548529,454.7138262889,460.434498998175,179.404026576502,455.685457761974,200.68293114611,120.579016668978,98.0036963443494,127.449545006129,131.843783837485,185.187049030309,0,156.72310780995,144.413966452036,148.10883710536,474.041671999696,455.028809143541,494.576109803557,465.15291759423,515.105681657404,458.011257322898,455.423650849826,461.311552914336,451.943250346235,543.390057322113,489.683761036688,567.331870165369,581.31136357362,492.635681428007,514.596142331424,459.25447187564,456.77893723388,581.871364844575,463.986218640825,513.587098167136,528.341678764811,513.964673746737,514.092941648549,503.829107624481,534.751463997768,521.827557664204,498.012266651166,533.842600276686,509.703135037329,578.761896718341,499.547718446294,500.755003881563,572.995392066871,511.121743782896,519.849750899712,455.574835034211,457.171323016983,514.641615194165,465.422667120827,460.163847876716,457.265185112298
"17",1142.32238633532,1140.32215189781,202.955865042002,572.756908653563,576.696586931626,496.394855747684,502.711680243688,222.138647810561,498.184063833249,242.726038029676,172.808771410355,153.501514189422,182.419838586126,184.157589132241,229.406686064267,156.72310780995,0,186.533180370323,172.43748907085,515.662491278916,496.380334556022,536.385215459944,507.822549163598,555.851892224105,498.643823334451,496.855350136334,502.806799560692,493.883553905584,584.652974478554,530.346344947634,608.408705295783,622.885032217396,533.678362354908,555.087138979723,501.389683197953,499.007257425355,619.219920447346,505.166956137626,553.553615491307,570.148615959131,554.540440434135,553.264622680295,544.000154581644,576.090989684655,563.177777028904,538.82104739928,574.438543429486,550.59159179806,618.185169644323,541.282231551023,540.546697960023,615.310946499695,551.477387882521,561.575048101676,497.19455209225,500.38703588316,556.724666988269,507.110828161748,501.105516196782,498.859274220706
"18",1108.65232867598,1108.38196686277,111.780265933655,536.565976103246,538.745941417801,461.63509457795,466.88304736712,135.967794188638,462.055290723705,156.380906501989,153.983987681599,140.742073016705,166.909562347265,171.839971400272,145.49436618965,144.413966452036,186.533180370323,0,176.289627605208,479.066384929118,460.876527139358,501.54299198809,470.982659464687,521.695582598712,464.400136386996,460.861011519456,467.376705712905,458.91862817921,546.382612298664,495.659228442948,571.281656807914,586.994420047013,499.438793527574,520.093169927864,465.067611251164,463.310440967789,589.505534600306,470.458576924808,521.119001892286,534.689239954924,521.375040686944,522.010669831286,511.885325924742,541.269422503003,527.754292834723,503.003519851863,537.303736783555,517.30135260316,585.484580973634,506.94132923445,507.750412420731,580.439459694414,518.820394035965,525.753818807402,461.803589424638,464.668323019158,519.490074193291,470.342434432207,466.264605478514,464.057237121633
