,0,1
G_cy_80582_arsu,153.58243,34.50346
G_cy_80701_arsu,140.10086,-1.1315128
G_cy_80801_arsu,137.17853,32.961002
G_cy_80826_arsu,170.22246,44.569187
G_cy_81108_arsu,189.65479,-13.488234
G_cy_81118_arsu,169.79861,6.3014436
G_cy_82508_pu,-86.035866,-640.35223
G_cy_85356_suta,95.840744,27.301136
G_cy_85499_arsu,132.38113,-29.39366
G_cy_85678_arsu,144.72981,-42.01844
G_cy_86297_suta,197.64151,0.014848784
G_cy_86321_suta,113.632904,-0.001556389
G_cy_86458_suta,134.76297,54.396393
G_cy_86478_suta,193.83119,-33.535442
G_cy_J296_ma,24.59942,-155.02823
G_cy_J477_ma,8.038521,-150.01945
G_cy_J691_roar,4.1210523,-123.04251
G_cy_J694_roar,-11.120688,-138.2459
G_cy_J773_ma,41.882973,-141.61147
G_cy_T10897_pa,-133.32664,-66.051865
G_cy_T11062_pa,-171.31651,-58.92723
G_cy_T12275_pu,-8.746222,89.32132
G_cy_T12279_pu,-48.43723,76.77837
G_cy_T12385_In,-157.46022,137.123
G_cy_T12392_pu,-29.404657,81.66041
G_cy_T13184_pu,-25.667955,103.76835
G_cy_T13251_ma,19.898603,-135.0407
G_cy_T14558_suta,185.56331,35.64291
G_cy_T16693_suta,131.27298,12.249565
G_cy_T16771_pa,-167.37216,-82.96739
G_cy_T1705_pa,-121.91481,-109.85381
G_cy_T18563_suta,105.160446,38.78761
G_cy_T18620_suta,159.66821,-10.197024
G_cy_T18744_pa,-176.89066,-112.775894
G_cy_T19429_pa,-113.31982,-59.936344
G_cy_T19520_pa,-144.36372,-39.47502
G_cy_T19765_pa,-158.40764,-66.20863
G_cy_T23196_In,-162.20657,98.10361
G_cy_T2497_pa,-145.10043,-81.4692
G_cy_T26228_pu,-44.56622,95.43481
G_cy_T26229_pu,87.64767,2353.8848
G_cy_T26252_pu,-52.418907,115.66292
G_cy_T310_In,-132.21344,138.43613
G_cy_T3343_jigu,-142.0171,100.60298
G_cy_T3384_jigu,-173.88374,116.34969
G_cy_T3385_jigu,-155.38275,114.24034
G_cy_T363_ma,35.217903,-121.95822
G_cy_T364_ma,18.14473,-112.04086
G_cy_T6579_pa,-124.140755,-82.48431
G_cy_T7636_In,-139.1918,118.93692
G_cy_T9133_pa,-150.58186,-104.346436
