,0,1
G_cy_80582_arsu,158.4666,-73.40729
G_cy_80701_arsu,142.63814,-105.80589
G_cy_80801_arsu,164.89789,-87.333984
G_cy_80826_arsu,73.1515,199.06493
G_cy_81108_arsu,195.18372,-81.81525
G_cy_81118_arsu,180.99571,-106.92172
G_cy_82508_pu,108.837456,171.71864
G_cy_85356_suta,133.10074,-63.455788
G_cy_85499_arsu,159.89633,-110.72281
G_cy_85678_arsu,191.09976,-117.147415
G_cy_86297_suta,177.89088,-97.45768
G_cy_86321_suta,164.31714,-240.08772
G_cy_86458_suta,138.54619,-90.79394
G_cy_86478_suta,160.5448,-96.947296
G_cy_J296_ma,10.658078,94.53327
G_cy_J477_ma,9.1057625,105.80316
G_cy_J691_roar,6.987666,81.39371
G_cy_J694_roar,18.852295,115.882286
G_cy_J773_ma,19.936342,94.90287
G_cy_T10897_pa,-203.00757,-81.61131
G_cy_T11062_pa,-150.30157,-90.325966
G_cy_T12275_pu,147.52077,147.88223
G_cy_T12279_pu,151.75476,167.04716
G_cy_T12385_In,-104.86241,72.257996
G_cy_T12392_pu,152.63683,156.6037
G_cy_T13184_pu,125.19269,143.43504
G_cy_T13251_ma,-3.7371235,106.20293
G_cy_T14558_suta,174.579,-77.965546
G_cy_T16693_suta,119.10507,-106.86374
G_cy_T16771_pa,-145.47682,-98.92116
G_cy_T1705_pa,-202.2303,-61.818504
G_cy_T18563_suta,118.42681,-86.6994
G_cy_T18620_suta,133.15662,-79.127914
G_cy_T18744_pa,-190.05052,-85.78241
G_cy_T19429_pa,-184.10555,-57.393963
G_cy_T19520_pa,-181.92438,-107.92966
G_cy_T19765_pa,-188.00255,-74.54311
G_cy_T23196_In,-100.04317,25.249512
G_cy_T2497_pa,-176.26445,-70.97369
G_cy_T26228_pu,130.04292,154.94952
G_cy_T26229_pu,113.24397,179.02914
G_cy_T26252_pu,119.765625,165.83539
G_cy_T310_In,-96.12061,72.11315
G_cy_T3343_jigu,-87.52222,37.52112
G_cy_T3384_jigu,-100.88946,36.66029
G_cy_T3385_jigu,-114.59147,34.591606
G_cy_T363_ma,-4.0221367,131.2172
G_cy_T364_ma,-12.143316,134.23825
G_cy_T6579_pa,-196.5934,-96.437
G_cy_T7636_In,-109.173744,43.220013
G_cy_T9133_pa,-177.14224,-90.586296
