,0,1
G_cy_80582_arsu,51.863384,-150.06677
G_cy_80701_arsu,52.47236,-160.83174
G_cy_80801_arsu,69.69244,-167.45714
G_cy_80826_arsu,47.17954,-166.54166
G_cy_81108_arsu,35.741398,-148.52347
G_cy_81118_arsu,39.73406,-157.65996
G_cy_82508_pu,131.10504,192.15884
G_cy_85356_suta,57.941185,-155.83475
G_cy_85499_arsu,56.02234,-165.03304
G_cy_85678_arsu,55.317772,-173.18471
G_cy_86297_suta,43.58682,-150.64711
G_cy_86321_suta,86.341484,-173.20818
G_cy_86458_suta,48.143143,-154.98538
G_cy_86478_suta,64.394165,-167.46568
G_cy_J296_ma,-250.3183,-164.00607
G_cy_J477_ma,-244.65779,-164.503
G_cy_J691_roar,-246.24377,-154.5746
G_cy_J694_roar,-241.17433,-150.55516
G_cy_J773_ma,-254.00978,-167.14246
G_cy_T10897_pa,-163.82585,165.7589
G_cy_T11062_pa,-156.08969,162.9769
G_cy_T12275_pu,121.348816,209.8317
G_cy_T12279_pu,118.52519,204.83434
G_cy_T12385_In,178.71883,173.53896
G_cy_T12392_pu,119.205086,197.20818
G_cy_T13184_pu,123.26773,201.44075
G_cy_T13251_ma,-242.48932,-159.89937
G_cy_T14558_suta,44.512268,-144.03465
G_cy_T16693_suta,37.967167,-168.52559
G_cy_T16771_pa,-153.47859,156.97559
G_cy_T1705_pa,-180.58711,170.72252
G_cy_T18563_suta,39.719055,-162.59427
G_cy_T18620_suta,63.00271,-152.56729
G_cy_T18744_pa,-168.79814,167.87538
G_cy_T19429_pa,-164.89087,178.38509
G_cy_T19520_pa,-154.68347,175.05202
G_cy_T19765_pa,-170.09265,162.18167
G_cy_T23196_In,195.51039,175.27696
G_cy_T2497_pa,-175.03876,167.02205
G_cy_T26228_pu,128.01003,202.87096
G_cy_T26229_pu,135.08475,191.38824
G_cy_T26252_pu,132.93045,197.50197
G_cy_T310_In,178.97644,177.96912
G_cy_T3343_jigu,191.61818,171.1172
G_cy_T3384_jigu,188.05328,181.69128
G_cy_T3385_jigu,189.14108,176.63953
G_cy_T363_ma,-251.03119,-158.07959
G_cy_T364_ma,-256.31134,-156.70412
G_cy_T6579_pa,-164.66052,171.76424
G_cy_T7636_In,194.43706,179.75386
G_cy_T9133_pa,-158.6798,167.85397
