,0,1
W_po_25484_pa,185.17041,-6.606809
W_po_80798_arsu,-42.51988,-39.61239
W_po_81036_arsu,-43.383606,-37.73324
W_po_81265_suta,179.00633,-10.4501505
W_po_85474_arsu,-44.217003,-39.632015
W_po_86085_arsu,-43.890903,-38.02255
W_po_A101_pu,25.244938,167.79475
W_po_A10701_pu,23.836382,168.264
W_po_A12284_pa,184.41878,-4.795902
W_po_A1381_pu,25.20929,169.88503
W_po_A14569_pa,184.2342,-5.8771667
W_po_A16227_pa,186.13853,-4.960539
W_po_A16298_suta,179.0709,-9.579841
W_po_A24413_ma,-56.19364,-49.867825
W_po_A265_pu,-65.832016,-42.37945
W_po_A2725_pu,25.578392,171.98332
W_po_A2749_pu,23.381342,166.68771
W_po_A2759_pu,24.183668,171.03445
W_po_A308_jigu,-66.59681,-40.92003
W_po_A3264_jigu,-67.07824,-39.601013
W_po_A334_jigu,-67.50758,-41.111916
W_po_A368_jigu,-67.884224,-43.15904
W_po_A4235_ma,-52.30274,-43.584763
W_po_A424_pu,22.255148,168.06891
W_po_A465_ma,-57.797665,-37.70986
W_po_A472_ma,-52.160194,-44.94443
W_po_A7346_pa,187.33069,-4.689871
W_po_A7736_pu,25.919165,167.28944
W_po_A815_In,21.286951,171.31282
W_po_A882_ma,-68.33406,-39.649807
W_po_A891_arsu,-45.45474,-42.37524
W_po_A894_ma,-52.130413,-41.504997
W_po_A896_ma,-48.33864,-41.573483
W_po_A898_ma,-53.68707,-39.40523
W_po_A902_ma,-51.331703,-45.820976
W_po_A9697_pu,24.246597,169.62898
W_po_J163_ma,-53.107166,-48.34931
W_po_J192_ma,-54.397945,-45.804226
W_po_J202_ma,-47.00641,-41.18718
W_po_J209_ma,-55.61557,-44.490944
W_po_J222_ma,-55.310535,-44.77736
W_po_J226_ma,-55.961216,-46.22815
W_po_J302_ma,-57.359283,-45.460896
W_po_J335_roar,-47.65923,-40.57238
W_po_J340_roar,-49.448727,-42.419888
W_po_J391_roar,-55.88768,-40.880344
W_po_J421_roar,-48.186478,-38.802547
W_po_J439_ma,-53.577034,-44.66103
W_po_J561_arsu,-44.109352,-40.806873
W_po_J563_arsu,-43.098618,-42.177742
W_po_J610_arsu,-45.68983,-40.810234
W_po_J644_roar,-55.742123,-42.433132
W_po_J766_roar,-47.53891,-44.004482
W_po_J768_roar,-51.59132,-38.599964
W_po_T10153_suta,180.21204,-10.887948
W_po_T10234_suta,179.89563,-10.009358
W_po_T10694_pa,186.0505,-6.0347633
W_po_T11887_suta,179.09773,-11.240845
W_po_T12400_pu,24.596079,168.74332
W_po_T12793_pa,185.40843,-3.668313
W_po_T13148_pu,26.842606,168.12952
W_po_T15888_jigu,-65.81146,-39.469486
W_po_T15889_jigu,-68.780846,-41.31877
W_po_T2190_ma,-54.624775,-50.391827
W_po_T23485_In,26.129173,169.31183
W_po_T3157_ma,-53.02422,-47.78446
W_po_T3645_In,22.741962,170.32521
W_po_T388_ma,-64.21335,-40.972996
W_po_T4097_In,18.611317,173.19048
W_po_T7132_pa,186.78865,-7.0308022
W_po_T7625_jigu,-66.79636,-41.953735
W_po_T7627_jigu,-66.91252,-43.231632
W_po_T9346_pa,185.22626,-5.1450295
