"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73"
"58",327.091830727606,497.13211662291,509.36835089181,298.206016318901,482.557949872183,495.145579134793,494.873017759587,480.086327432161,317.11140609566,483.514976778002,325.482043956043,335.41363401445,240.119714671676,480.298875794012,510.501284503634,474.998396779719,481.18390745644,485.134311725549,530.054221619799,520.298991291409,508.885497913528,515.593082959187,464.43014232475,475.288160924186,468.300491451224,475.201157087993,322.358963521591,480.225617592088,520.599915759658,509.803598610594,481.144875692872,464.168284947135,459.208142812572,467.610786363782,468.336332284421,488.058468632957,482.161121092014,471.140317448739,464.596803593165,582.89071846161,612.95693391147,467.11915111629,477.247378166237,466.822917331541,459.965863859005,520.616224601049,465.200696527107,466.770253642453,499.871219717325,483.218251441964,493.287787500835,465.893146779191,463.151847136157,465.129806242315,248.289735246649,259.054385202708,336.284483646527,0,485.108972588199,343.591488392592,481.952182233843,503.763076576752,511.676516042067,468.963324179009,521.774656616445,483.802021782093,475.096771316945,487.282947871435,545.095423633271,316.242222233075,575.645882352571,575.268077913253,317.450257184398
"59",429.698050269636,394.51542418949,404.732233844719,527.995495946566,378.584870979033,392.104920776971,103.440105708795,89.4211720896544,421.013735670676,95.4106488668167,427.036446248373,436.766842394695,468.884524004615,374.66710331504,413.95004789382,96.2807765380967,98.6608555950471,104.84396072829,434.036800032592,422.571489223116,411.82326480002,419.615359398979,358.625983112143,97.4760148923015,361.793806353244,370.166158448756,425.378497678779,92.4637018149538,153.468388080324,412.769583524302,377.166159687949,359.653233876426,352.793150348465,362.856482741521,363.219003473695,99.7861518788263,376.722459300838,367.41032077706,358.972063505259,480.304595491136,509.479151814641,363.666750391325,370.413085480205,360.588179864088,353.875755701747,427.902020965526,358.177215367606,361.708216535893,394.489924844776,379.360018200207,388.658736609444,360.673893276912,357.280463476764,359.704641257244,479.600435798126,486.349176604905,439.628438434471,485.108972588199,0,448.062235542996,97.540224859023,406.978885950682,414.409536865564,362.715731112212,238.370307157702,378.666898287253,100.772727792036,390.573403088201,172.391133767322,421.264103979467,481.582622746331,480.120061643311,421.871610861616
"60",150.568836787734,448.193590308724,459.775836644026,390.711023923156,433.516769764002,447.228979414863,456.950353816897,440.592535653214,140.253634750728,445.12231135771,144.888050040715,151.767164097797,327.477839618737,429.691316337598,459.628959380247,437.111975964701,443.303652352865,446.529431743124,478.299039836243,469.304483936285,458.093728643375,464.630523429307,413.734126072912,436.778148103367,416.232546091541,424.518041879704,142.501989311147,441.881631683021,483.087671621048,459.048732037446,432.110670096424,413.100767128209,408.758630493595,417.225344168931,417.882728349064,448.901916449053,431.688024056918,421.466224427232,414.465227394817,533.449459480409,563.459010114859,417.09009685978,425.200524832056,416.082357629297,408.786726609429,471.524283628661,413.558409288578,415.337953914195,449.92527745515,433.768602900436,443.072444240057,415.322707382944,412.177382116538,415.21032264198,336.201534881549,345.236169186709,160.695320467941,343.591488392592,448.062235542996,0,443.924284884695,452.085348743506,459.767436233489,418.062219269122,479.1181725269,432.776676134898,437.573951340055,437.376515024232,508.209287118946,144.371449373739,524.695819553007,525.766322126083,138.302930544227
"61",425.724308538871,390.070013579008,400.553437161964,526.23639588783,375.13220070852,387.565347320013,97.5460252121809,89.0099524942511,416.612062731623,97.1157847058723,423.577204960504,433.039503803722,462.616463736397,369.430441765581,408.954999359023,94.5762676676358,97.5340846836322,100.032029743292,429.701228876239,418.435400396631,407.247992802977,414.781159571218,354.794620801418,94.5999721652279,358.103111978666,365.488157163249,420.540735388588,88.4766119009208,144.894481395767,407.954712941328,373.122871489939,355.853914608853,349.810007346704,358.354318515345,359.065813368836,93.0880637691638,372.306690018351,362.98192814733,355.556984625209,475.9187248941,505.377546209986,359.072708946136,366.892963909004,356.806051225815,350.450040656533,424.560357799838,354.765230770885,357.545492796064,390.76077497313,375.376989759173,384.486425097916,355.904867315564,353.117424612757,356.058750713422,475.041510670642,482.016629353442,435.26946842105,481.952182233843,97.540224859023,443.924284884695,0,402.535810108905,409.18542136238,358.243159317982,230.011299728453,374.181289204533,92.2099155205885,386.026602323958,165.771834669231,416.694492645928,476.585862456865,474.571509579623,418.054284474606
"62",433.338537188465,304.956461150922,313.894722952316,546.070132382908,283.928156636267,300.195277500704,416.478366446084,402.182310543731,425.952181666631,404.682279928032,432.602155714664,441.746943361777,483.691526332605,234.713653267029,105.344432922286,397.345928582085,404.425306356261,406.144743358685,126.006157801854,118.751681587405,100.821355930996,114.525080347744,240.816464070461,396.4098408098,239.322587967696,252.298250236574,430.78717285316,402.791789140028,442.956979932137,107.093297640929,284.093955070888,246.211589318635,242.288936761284,247.073139005564,242.063241188121,408.699855413064,257.660983781256,244.877160770743,250.055770298617,364.222048245029,393.540997848083,245.997475811604,251.735686778945,248.166728720713,240.136213113085,317.284458712188,246.565041231316,238.310540141978,301.589231606665,284.965211122288,294.312931152218,242.214387404293,245.290548646507,244.239877876985,495.805642371916,500.507343909444,444.644054440787,503.763076576752,406.978885950682,452.085348743506,402.535810108905,0,106.601272901021,236.439507886148,467.353478056463,257.368005691882,397.267832469174,107.069494212734,467.934308667266,426.717831265586,184.400051030835,184.093860865658,427.083405814916
"63",441.799387536953,310.466378136075,319.92828813855,555.669595827534,290.35287697025,306.055517405982,423.856854176624,409.955710556388,434.704054193147,411.679287615088,441.082218061846,449.325409438926,487.050392842905,240.785699912281,112.438828125896,404.588336273055,412.11839429536,413.837290873545,129.967739660711,122.13010661493,104.890875391523,121.471202826513,247.221499147168,403.971713337065,245.243084598905,258.200971881996,439.009892031249,410.031971703651,449.701591640405,104.340658419515,289.583043689686,252.196049830602,248.358122294889,251.627056910926,248.216508513727,416.017601875557,264.032424030651,250.858096972937,256.219158607363,369.684170981851,398.926931594139,251.567737453699,257.860948793892,253.974085381451,246.135787298943,324.36928204852,252.882328248165,244.780206317822,306.977109172873,291.445461683134,300.054446616013,248.223410580373,251.012826154968,249.330916046428,503.816281183473,509.464198072468,453.884067339856,511.676516042067,414.409536865564,459.767436233489,409.18542136238,106.601272901021,0,242.095808682612,475.422285714851,262.83551157957,404.528892351136,111.811761481296,474.874526669448,435.47480428236,191.068948945178,187.208258641869,435.647586853091
"64",399.912418007819,203.375300100026,210.482036295757,512.480380508379,178.159252769075,196.986811752224,371.990570851515,357.560813229749,392.483326634698,359.955994573922,399.118543343111,409.507896338333,447.044176855007,128.853189784893,243.400525914956,352.468310882726,359.68090560506,362.134149357461,262.974974906002,251.070072730122,240.79919236266,249.691576795156,108.648830092643,352.079378100927,102.001899060317,116.119654881838,396.831918722069,358.00696036316,398.499312458007,241.366219533009,178.221914907289,125.131334342114,119.647350311111,125.171262271737,101.980479818994,363.865901124243,121.384182228073,108.196633782691,126.946921126587,233.427043669,266.269387328899,112.417294087991,119.731932897605,127.724349147748,113.796871722445,216.143215518057,125.136890038232,96.2441536344774,194.935544611443,178.805938923393,188.983861885509,121.686907322077,123.292565472425,121.951677420426,459.543853295985,464.457895435434,411.262119067614,468.963324179009,362.715731112212,418.062219269122,358.243159317982,236.439507886148,242.095808682612,0,427.242029536943,112.984567355758,352.474826278254,203.465683929016,424.202421116661,392.675731529409,313.90362722762,314.736900260268,392.446195216035
"65",461.86434402639,457.749896106209,468.41454714305,564.797321129814,443.128704388077,455.466740582236,244.545850353539,229.949339357498,452.566125993045,234.648979198249,459.244775194054,468.765248846509,504.020149424609,438.085430419536,474.593451347431,229.173010988189,233.922213649616,237.724666981142,494.107761958587,483.628526503875,472.212100275805,479.557970274753,423.931928901973,228.705295184952,427.731347650233,435.211670146329,456.191602806029,230.5860556289,276.684207035922,474.157327378414,441.786888442067,424.451341412827,419.570532241057,428.764592811701,428.412880020231,235.723760792945,441.550758411002,432.173648415061,424.986794580172,543.217230966158,572.954081155154,427.454050498771,435.329566419646,426.057269357838,419.461582396865,483.053851634867,424.555357938778,426.960803596736,459.54267662478,443.422844398681,452.212233494699,426.017807961249,422.967063274499,425.086404450375,511.813791857894,520.713972173693,471.686649485495,521.774656616445,238.370307157702,479.1181725269,230.011299728453,467.353478056463,475.422285714851,427.242029536943,0,443.971880482027,227.243337384399,451.871053143608,298.276091400114,452.367390963754,540.318833104862,539.51613713507,454.545670442104
"66",415.428023272433,217.225566681281,224.933606338366,529.123023107905,191.757188861503,210.411551622011,387.803440777077,372.557366348239,406.665956965606,376.042275867465,414.810164465772,424.168607738632,463.789960691248,145.435193093462,264.754970538103,367.88623000509,374.865344020583,378.081689690185,283.581001887258,272.314202509192,261.7984117541,270.817813016716,114.883129710004,367.641135776095,108.967970450107,123.465761608604,411.437596576035,373.484580144134,414.13913027822,263.097093204407,192.002718914196,137.883737306598,133.026609355936,138.036712400579,106.138287219272,379.549883524572,121.547110181423,115.243573743228,138.657343497702,242.442941655354,273.52638034727,116.399730053571,125.886284200143,142.04664953588,125.302775488951,229.731989347629,136.892822781963,104.647277473872,208.268901833062,192.475094901066,202.155588494489,135.022455683324,136.588255089403,136.190074280695,474.964894941052,480.119724740993,426.006227338118,483.802021782093,378.666898287253,432.776676134898,374.181289204533,257.368005691882,262.83551157957,112.984567355758,443.971880482027,0,368.749988211051,224.477680447243,440.528955594775,408.161561795446,334.894593648016,334.951134758133,408.401578550344
"67",419.375735815799,384.393782339957,394.74724890704,519.21746043236,369.603943398333,382.193528599939,108.993806681531,92.4444354690905,410.579267010511,94.7060538633912,416.608804009873,427.537858724479,457.467458986297,364.044816259341,404.113400061929,82.4707810652154,85.4173839745583,90.7561680587937,424.511110554798,412.812151159831,402.039350376573,409.701536606397,348.937925095387,85.3977614639798,352.591724198251,360.274576318251,414.777933065192,92.7145724961701,151.269856949878,402.841967071369,368.085595717625,350.185326759607,344.490102946017,353.240177061701,352.980233564819,96.9581886490127,367.683794711306,356.975920978336,349.721522914654,470.326407273764,499.921266284992,353.10850848594,361.232869567045,350.972215660417,344.148138966686,418.817748256937,349.519362960224,351.818189644128,385.209617610681,369.686464765035,378.22389409656,351.129344530252,348.19180244487,350.36359414305,468.044161502835,474.024560034921,429.395013861836,475.096771316945,100.772727792036,437.573951340055,92.2099155205885,397.267832469174,404.528892351136,352.474826278254,227.243337384399,368.749988211051,0,380.545101066836,171.02137688361,410.493347325349,470.52740108228,470.12695161605,410.941656513019
