,0,1
W_po_25484_pa,171.18372,-17.13675
W_po_80798_arsu,-46.88609,-2.115924
W_po_81036_arsu,-47.388496,-2.895109
W_po_81265_suta,164.03099,-14.482658
W_po_85474_arsu,-47.297394,-4.2820153
W_po_86085_arsu,-48.937256,-3.754856
W_po_A101_pu,-33.180626,14.61776
W_po_A10701_pu,-34.942314,14.148356
W_po_A12284_pa,172.58241,-16.159412
W_po_A1381_pu,-31.750216,15.33129
W_po_A14569_pa,170.84854,-13.852723
W_po_A16227_pa,170.94681,-15.050891
W_po_A16298_suta,164.38148,-13.833729
W_po_A24413_ma,-55.524372,4.3470902
W_po_A265_pu,-64.35003,-12.624913
W_po_A2725_pu,-30.670383,14.925916
W_po_A2749_pu,-30.747944,13.797583
W_po_A2759_pu,-31.520397,13.16511
W_po_A308_jigu,-64.04697,-11.481455
W_po_A3264_jigu,-64.81388,-10.559473
W_po_A334_jigu,-63.343407,-12.954604
W_po_A368_jigu,-65.34617,-12.178948
W_po_A4235_ma,-57.31541,-2.355479
W_po_A424_pu,-30.502924,12.149221
W_po_A465_ma,-59.27388,-1.3400215
W_po_A472_ma,-57.127182,0.24844192
W_po_A7346_pa,170.29742,-15.799058
W_po_A7736_pu,-32.575405,13.96855
W_po_A815_In,-35.186523,16.826319
W_po_A882_ma,-64.90214,-14.341277
W_po_A891_arsu,-50.81174,-1.4984204
W_po_A894_ma,-53.881992,-2.978776
W_po_A896_ma,-55.57168,-4.1673436
W_po_A898_ma,-55.333546,-2.5754962
W_po_A902_ma,-58.47113,-1.4285542
W_po_A9697_pu,-33.087154,15.385179
W_po_J163_ma,-54.949047,-7.7829657
W_po_J192_ma,-60.93851,0.73688203
W_po_J202_ma,-54.26712,-2.8540492
W_po_J209_ma,-58.554703,2.92728
W_po_J222_ma,-58.56773,3.019162
W_po_J226_ma,-55.1393,1.470259
W_po_J302_ma,-60.695705,-1.5496521
W_po_J335_roar,-53.494114,-5.525196
W_po_J340_roar,-56.19331,-4.958496
W_po_J391_roar,-54.952225,-1.067989
W_po_J421_roar,-53.110077,-1.5749481
W_po_J439_ma,-61.001434,0.3668388
W_po_J561_arsu,-50.019512,-2.7412026
W_po_J563_arsu,-49.888855,-5.7085524
W_po_J610_arsu,-49.613297,-4.452512
W_po_J644_roar,-57.337845,-6.363342
W_po_J766_roar,-52.68909,-3.8086154
W_po_J768_roar,-54.333862,-4.1292763
W_po_T10153_suta,163.44014,-13.449505
W_po_T10234_suta,163.15633,-14.180359
W_po_T10694_pa,171.5184,-16.134872
W_po_T11887_suta,163.52477,-15.121221
W_po_T12400_pu,-31.769583,16.295395
W_po_T12793_pa,170.05235,-14.735508
W_po_T13148_pu,-33.09899,12.275502
W_po_T15888_jigu,-66.5038,-13.034945
W_po_T15889_jigu,-65.79552,-14.271216
W_po_T2190_ma,-59.15624,-4.166423
W_po_T23485_In,-33.298485,13.708122
W_po_T3157_ma,-53.176933,1.6451284
W_po_T3645_In,-33.28874,11.303027
W_po_T388_ma,-59.73918,-7.130341
W_po_T4097_In,-34.578392,16.192749
W_po_T7132_pa,169.9619,-17.083109
W_po_T7625_jigu,-66.203125,-11.647312
W_po_T7627_jigu,-65.79088,-11.14902
W_po_T9346_pa,171.82243,-15.006739
