"","pop 1","pop 2","pop 3","pop 4","pop 5","pop 6","pop 7","pop 8"
"41",2.5,0.25,2,1.6,4,0.5,0.222222222222222,1.92727272727273
"42",3.5,1.60714285714286,2.66666666666667,1,3,0.678571428571428,1.11111111111111,1.34545454545455
"43",6.16666666666667,5.17857142857143,5.33333333333333,7.33333333333333,2,2.85714285714286,3.05555555555556,3.89090909090909
"44",4.83333333333333,5.71428571428571,6.66666666666667,7.33333333333333,2,2.17857142857143,2.16666666666667,3.56363636363636
"45",7.33333333333333,4.60714285714286,5.33333333333333,0.666666666666667,3,1.64285714285714,1.83333333333333,2.36363636363636
"46",10.1666666666667,4.28571428571429,6,0.666666666666667,4,5.14285714285714,4.66666666666667,2.98181818181818
"47",5.83333333333333,2.96428571428571,6,1.86666666666667,6,6.85714285714286,5.66666666666667,1.81818181818182
"48",3.33333333333333,2.85714285714286,4.66666666666667,1.53333333333333,4,5.39285714285714,4.27777777777778,1.05454545454545
"49",2.16666666666667,2,4,0.666666666666667,2,2.57142857142857,2.61111111111111,1.2
"50",3.16666666666667,3.17857142857143,7.33333333333333,1.66666666666667,8,4.96428571428571,6.16666666666667,3.92727272727273
"51",4.33333333333333,3.85714285714286,7.33333333333333,1.93333333333333,8,6.10714285714286,7.5,5.34545454545455
"52",4.83333333333333,3.35714285714286,2,4.86666666666667,10,5.14285714285714,5.16666666666667,5.41818181818182
"53",4.5,5.39285714285714,2.66666666666667,6,9,5.32142857142857,3.72222222222222,5.05454545454545
"54",3,4.60714285714286,2.66666666666667,3.53333333333333,2,2.78571428571429,1.61111111111111,2.76363636363636
"55",2.5,2.10714285714286,0.666666666666667,2.13333333333333,2,2.89285714285714,2.66666666666667,2.61818181818182
"56",4.5,3.32142857142857,3.33333333333333,2.6,2,3.64285714285714,4.38888888888889,2.65454545454545
"57",5.33333333333333,3.96428571428571,6,3.13333333333333,1,3.57142857142857,4.55555555555556,1.6
"58",4.83333333333333,3.42857142857143,6,4.53333333333333,3,3.64285714285714,4.16666666666667,2.69090909090909
"59",5,4.78571428571429,5.33333333333333,3.86666666666667,4,3.46428571428571,3.16666666666667,2.36363636363636
"60",5.5,4.89285714285714,6,1.8,3,4.07142857142857,3,2.32727272727273
"61",4,3.75,4,4.4,3,4.14285714285714,3.61111111111111,3.63636363636364
"62",1,1.60714285714286,0.666666666666667,3.13333333333333,1,1.78571428571429,1.66666666666667,1.67272727272727
"63",3,0.428571428571429,2.66666666666667,1.2,1,1.07142857142857,0.777777777777778,1.6
"64",3.5,0.678571428571428,2.66666666666667,1.8,1,2.5,3.44444444444444,2.65454545454545
"65",3.5,0.75,0.666666666666667,2.73333333333333,0,2.67857142857143,4.66666666666667,1.74545454545455
"66",3.16666666666667,1.57142857142857,2,3.2,0,4.57142857142857,4.77777777777778,1.05454545454545
"67",1.16666666666667,2.53571428571429,2.66666666666667,3.33333333333333,2,4.78571428571429,4.22222222222222,1.78181818181818
"68",4.16666666666667,5.42857142857143,6.66666666666667,4.06666666666667,2,4.67857142857143,4.94444444444444,2.32727272727273
"69",7,6.92857142857143,6,3.93333333333333,2,6.96428571428571,7.44444444444444,1.85454545454545
"70",6,6.39285714285714,2,4.86666666666667,3,6.75,7.11111111111111,2.69090909090909
"71",4.83333333333333,5.21428571428571,2,3.4,3,5.32142857142857,5.11111111111111,2.47272727272727
"72",4.16666666666667,2.64285714285714,2,1.2,2,2.32142857142857,2.61111111111111,1.09090909090909
"73",2,1.10714285714286,2.66666666666667,0.533333333333333,0,1,2.22222222222222,0.363636363636364
"74",1,1.46428571428571,2.66666666666667,1.2,0,2,1.55555555555556,0.363636363636364
"75",3.16666666666667,2.46428571428571,3.33333333333333,2.06666666666667,1,2.46428571428571,2.66666666666667,2.32727272727273
"76",4.33333333333333,2.25,4,2.13333333333333,1,2.21428571428571,3.11111111111111,3.67272727272727
"77",2.83333333333333,3.39285714285714,3.33333333333333,3.8,3,2.5,2.94444444444444,2.21818181818182
"78",3,3.07142857142857,2.66666666666667,4.13333333333333,5,2.67857142857143,4.05555555555556,1.63636363636364
"79",4.33333333333333,2.96428571428571,2,2.93333333333333,4,2.28571428571429,4.16666666666667,2.18181818181818
"80",3,5.71428571428571,2.66666666666667,2.33333333333333,4,1.89285714285714,3.72222222222222,1.6
"81",1.5,4.35714285714286,2,1.66666666666667,5,1.28571428571429,2,2.10909090909091
"82",0.5,1.17857142857143,0,2.46666666666667,5,1.53571428571429,2.11111111111111,1.92727272727273
"83",3.66666666666667,2.53571428571429,2,3.73333333333333,5,3.21428571428571,2.33333333333333,1.96363636363636
"84",5.5,2.53571428571429,2.66666666666667,3.13333333333333,5,3.35714285714286,2.83333333333333,1.96363636363636
"85",5.83333333333333,3.60714285714286,4.66666666666667,5.4,4,5.17857142857143,4.72222222222222,2.54545454545455
"86",5,3.35714285714286,4,4.2,2,4.5,3.22222222222222,2.36363636363636
"87",6.66666666666667,2.82142857142857,4,3.8,3,2.28571428571429,2.77777777777778,1.78181818181818
"88",5.66666666666667,3.39285714285714,4,4.93333333333333,4,3.42857142857143,4.27777777777778,1.78181818181818
"89",0.5,2.39285714285714,0,1.66666666666667,1,1.82142857142857,2.77777777777778,1.2
"90",1,2.89285714285714,1.33333333333333,2.33333333333333,2,1.64285714285714,2,1.70909090909091
"91",2,2.89285714285714,1.33333333333333,3.06666666666667,2,2.07142857142857,2,2.14545454545455
"92",2.16666666666667,2.57142857142857,2,3.6,0,2.03571428571429,1.5,1.96363636363636
"93",1.16666666666667,1.28571428571429,2.66666666666667,2.66666666666667,0,1.17857142857143,0.666666666666667,0.690909090909091
"94",0.5,1.21428571428571,1.33333333333333,0.666666666666667,1,0.571428571428571,0.888888888888889,0.363636363636364
"95",2,2.64285714285714,2.66666666666667,1.53333333333333,4,1.78571428571429,1.38888888888889,2.03636363636364
"96",3,1.96428571428571,3.33333333333333,1.86666666666667,3,1.71428571428571,1.66666666666667,1.85454545454545
"97",3.33333333333333,1.92857142857143,4,2.53333333333333,3,1.96428571428571,2.27777777777778,2.18181818181818
"98",2.33333333333333,2.46428571428571,4,3.8,4,1.46428571428571,1.55555555555556,2.72727272727273
"99",0.5,3.14285714285714,2.66666666666667,3.46666666666667,2,0.428571428571429,1.11111111111111,1.27272727272727
