,0,1
G_cy_80582_arsu,70.35133,56.10674
G_cy_80701_arsu,161.85378,122.262474
G_cy_80801_arsu,168.74255,59.315323
G_cy_80826_arsu,143.05688,122.4908
G_cy_81108_arsu,184.98175,34.053394
G_cy_81118_arsu,127.46714,19.026709
G_cy_82508_pu,-114.29784,3.5185578
G_cy_85356_suta,147.5481,67.64767
G_cy_85499_arsu,89.30697,32.41262
G_cy_85678_arsu,71.373886,40.708435
G_cy_86297_suta,158.37967,30.68846
G_cy_86321_suta,196.55804,57.981556
G_cy_86458_suta,150.94089,44.09743
G_cy_86478_suta,128.11882,42.43334
G_cy_J296_ma,-65.24153,187.70555
G_cy_J477_ma,-51.26187,199.10172
G_cy_J691_roar,-48.863117,153.0073
G_cy_J694_roar,-70.627205,213.41888
G_cy_J773_ma,-45.851963,178.6117
G_cy_T10897_pa,64.37783,-136.00896
G_cy_T11062_pa,13.788434,-135.43172
G_cy_T12275_pu,-92.50934,27.848524
G_cy_T12279_pu,-83.82378,5.8499703
G_cy_T12385_In,-194.9505,-69.38106
G_cy_T12392_pu,-61.92569,5.137846
G_cy_T13184_pu,-76.41108,-13.113611
G_cy_T13251_ma,-74.163506,150.05577
G_cy_T14558_suta,142.26567,104.31827
G_cy_T16693_suta,169.5228,102.062996
G_cy_T16771_pa,28.25551,-178.06699
G_cy_T1705_pa,-16.680243,-162.50032
G_cy_T18563_suta,160.33682,5.65218
G_cy_T18620_suta,124.0869,64.05284
G_cy_T18744_pa,37.904438,-135.73517
G_cy_T19429_pa,55.119175,-121.72389
G_cy_T19520_pa,79.49758,-167.67084
G_cy_T19765_pa,64.26719,-175.16362
G_cy_T23196_In,-239.10783,-68.228355
G_cy_T2497_pa,6.996625,-170.8522
G_cy_T26228_pu,-73.954185,24.461096
G_cy_T26229_pu,-128.56767,1.7918768
G_cy_T26252_pu,-114.66141,-15.7352295
G_cy_T310_In,-190.36674,-49.24299
G_cy_T3343_jigu,-236.40921,-44.500008
G_cy_T3384_jigu,-218.89317,-57.567287
G_cy_T3385_jigu,-210.17676,358.56195
G_cy_T363_ma,-86.0519,169.08173
G_cy_T364_ma,-65.43066,167.66397
G_cy_T6579_pa,40.822792,-151.17964
G_cy_T7636_In,-225.03381,-171.79681
G_cy_T9133_pa,13.660246,-152.50446
