,0,1
G_cy_80582_arsu,222.50105,-3.8907862
G_cy_80701_arsu,209.55728,14.201131
G_cy_80801_arsu,222.19524,2.2975903
G_cy_80826_arsu,213.17245,16.426397
G_cy_81108_arsu,225.37856,13.30248
G_cy_81118_arsu,243.0295,13.957638
G_cy_82508_pu,-132.0574,-43.099133
G_cy_85356_suta,211.50415,21.482115
G_cy_85499_arsu,226.78679,2.4478247
G_cy_85678_arsu,228.79456,-1.1915613
G_cy_86297_suta,216.27998,15.709901
G_cy_86321_suta,217.64204,2.8547516
G_cy_86458_suta,272.58215,76.03289
G_cy_86478_suta,230.57771,15.5038805
G_cy_J296_ma,-201.0931,-135.36339
G_cy_J477_ma,-194.69885,-135.4273
G_cy_J691_roar,-199.26552,-144.67802
G_cy_J694_roar,-199.06021,-149.12274
G_cy_J773_ma,-198.81699,-137.22253
G_cy_T10897_pa,-99.158424,138.17029
G_cy_T11062_pa,-112.94012,128.82417
G_cy_T12275_pu,-140.23474,-31.566051
G_cy_T12279_pu,-146.68748,-33.39438
G_cy_T12385_In,80.14486,159.16978
G_cy_T12392_pu,-144.07748,-31.732477
G_cy_T13184_pu,-142.80827,-41.11213
G_cy_T13251_ma,-197.68755,-141.27371
G_cy_T14558_suta,229.59436,18.579842
G_cy_T16693_suta,228.69156,22.93289
G_cy_T16771_pa,-117.00097,131.81773
G_cy_T1705_pa,-109.74496,144.48918
G_cy_T18563_suta,228.90125,4.923299
G_cy_T18620_suta,235.74173,14.199835
G_cy_T18744_pa,-106.6545,139.38014
G_cy_T19429_pa,-96.51929,144.1958
G_cy_T19520_pa,-103.52826,133.70688
G_cy_T19765_pa,-103.71588,139.73717
G_cy_T23196_In,66.93385,157.64294
G_cy_T2497_pa,-102.360405,144.31085
G_cy_T26228_pu,-139.45473,-38.228886
G_cy_T26229_pu,-129.8747,-41.406353
G_cy_T26252_pu,-134.83853,-40.040905
G_cy_T310_In,80.053246,163.3906
G_cy_T3343_jigu,71.85674,156.2129
G_cy_T3384_jigu,75.05126,156.46565
G_cy_T3385_jigu,74.68509,152.5149
G_cy_T363_ma,-190.42897,-146.86087
G_cy_T364_ma,-187.7843,-145.85593
G_cy_T6579_pa,-110.50536,135.57184
G_cy_T7636_In,73.19939,160.34966
G_cy_T9133_pa,-109.89553,129.70398
